sample_name	archive	member	size_bytes	md5
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_23.pod5	261331544	790eb754f60387a51f1911ba84d7c5c8
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_24.pod5	302682696	5c9a777392aa89f8453946c3ab6c850c
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_25.pod5	260276680	e03ed5c56e59953e6ba247abb2906555
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_26.pod5	248941296	0f0eee1907cb9073c2079f5a0dcaf884
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_27.pod5	80290688	1c7c3ff1577ddb10afc95ec08e0b90f4
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_3.pod5	279778072	55ae1531cd4726ea217fad63bcb86755
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_4.pod5	274320840	ec6ecd643ebe84d8f33861bc689693af
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_5.pod5	330959848	6bd799f46bb801901c7a4ae12e38c2e7
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_6.pod5	287153760	2aec9d3eb21cadb423024fa5ff18c9cc
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_7.pod5	308460288	b87b2b0b23c47e6caf6ec4697e557302
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_8.pod5	299073528	beafa6be0a5ddbb3af85670d3dcf6901
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_9.pod5	265982544	e3887ea7b6081ca249395e5be1263271
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_0.pod5	378118712	b0d72aa46ba4028cb8a366d37ef3f33d
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_1.pod5	385700872	f6d5746c54abfab346cc4900442bec70
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_10.pod5	510352648	61fe8afbaf0f3e2d04b1590def7c5bc1
M145_1_3	M145_1_3_pod5.tar	M145_1_3/20251215_1528_MN34111_FBF04840_c6cb4347/barcode11/FBF04840_pass_barcode11_c6cb4347_af3697b9_11.pod5	419625448	7493dba3a70c6f0dfa3098325ade7e1f
