accession	organism_name	strain
GCF_046718965.1	Streptomyces gramineus	A14
GCF_047337785.1	Streptomyces lacaronensis	OE57
GCF_048572725.1	Streptomyces boninensis	TBRC7755
GCF_049239225.1	Streptomyces echiniscabiei	WI04-05B
GCF_049310305.1	Streptomyces anthophorae	BH034
GCF_049538775.1	Streptomyces lavendulocolor	NPDC012858
GCF_049570255.1	Streptomyces manipurensis	JCM 17351
GCF_049844455.1	Streptomyces fractus	MV32
GCF_050018475.1	Streptomyces krungchingensis	1D107
GCF_050433025.1	Streptomyces auratus	DSM 41897
GCF_050871185.1	Streptomyces huangiella	HD1123-B1
GCF_051122705.1	Streptomyces ipomoeae	NRRL_B-12321
GCF_051171815.1	Streptomyces caniscabiei	NE06-02D
GCF_051172935.1	Streptomyces acidiscabies	ATCC 49003
GCF_051201135.1	Streptomyces griseorubens	DSM 40160
GCF_052543575.1	Streptomyces hayashii	SAS_261
GCF_052663305.1	Streptomyces cyslabdanicus	K04-0144
GCF_052828665.1	Streptomyces graminifolii	NBRC 109806
GCF_052934925.1	Streptomyces hypolithicus	DSM 41950
GCF_052983195.1	Streptomyces hebeiensis	JL9001
GCF_053555975.1	Streptomyces mitragynae	NRAIS3
GCF_053591575.1	Streptomyces altiplanensis	NPDC003008
GCF_054782095.1	Streptomyces capparidis	JCM 30089
GCF_054782395.1	Streptomyces daliensis	JCM 19963
GCF_054782695.1	Streptomyces deserti	JCM 19673
GCF_054783955.1	Streptomyces mayteni	JCM 16957
GCF_900100315.1	Streptomyces indicus	CGMCC 4.5727
GCF_900104815.1	Streptomyces misionensis	DSM 40306
GCF_900105695.1	Streptomyces melanosporofaciens	DSM 40318
GCF_900112355.1	Streptomyces aidingensis	CGMCC 4.5739
GCF_913919575.1	Streptomyces coriariae	CMB-FB
GCF_964020845.1	Streptomyces atroolivaceus	
GCF_000154965.1	Streptomyces sviceus ATCC 29083	ATCC 29083
GCF_000220705.2	Streptomyces xinghaiensis S187	S187
GCF_000225525.1	Streptomyces zinciresistens K42	K42
GCF_000262345.1	Streptomyces xiaopingdaonensis	DUT 180
GCF_000331185.2	Streptomyces rimosus subsp. rimosus ATCC 10970	ATCC 10970
GCF_000381025.1	Streptomyces sulphureus DSM 40104	DSM 40104
GCF_000384175.1	Streptomyces purpureus KA281	KA281
GCF_000478605.2	Streptomyces thermolilacinus SPC6	SPC6
GCF_000497445.1	Streptomyces roseochromogenus subsp. oscitans DS 12.976	DS 12.976
GCF_000698945.1	Streptomyces wadayamensis	A23
GCF_000716435.1	Streptomyces xylophagus	NRRL B-12029
GCF_000716445.1	Streptomyces wedmorensis	NRRL 3426
GCF_000716805.1	Streptomyces yerevanensis	NRRL B-16943
GCF_000716875.1	Streptomyces novaecaesareae	NRRL B-1267
GCF_000717725.1	Streptomyces pyridomyceticus	NRRL ISP-5024
GCF_000717745.1	Streptomyces violens	NRRL ISP-5597
GCF_000717995.1	Streptomyces violaceorubidus	NRRL B-16381
GCF_000718305.1	Streptomyces niger	NRRL B-3857
GCF_000718615.1	Streptomyces purpeochromogenes	NRRL ISP-5373
GCF_000718635.1	Streptomyces varsoviensis	NRRL ISP-5346
GCF_000719265.1	Streptomyces roseoverticillatus	NRRL B-3500
GCF_000720485.1	Streptomyces ochraceiscleroticus	NRRL ISP-5594
GCF_000725125.1	Streptomyces toyocaensis	NRRL 15009
GCF_000725565.1	Streptomyces peucetius	NRRL WC-3868
GCF_000802245.2	Streptomyces pluripotens	MUSC 135
GCF_000830005.1	Streptomyces vietnamensis	GIMV4.0001
GCF_000935125.1	Streptomyces natalensis ATCC 27448	ATCC 27448
GCF_000955965.1	Streptomyces variegatus	NRRL B-16380
GCF_000961885.1	Streptomyces rubellomurinus	ATCC 31215
GCF_000981895.1	Streptomyces odonnellii	NRRL B-24891
GCF_000993785.3	Streptomyces xiamenensis	MCCC 1A01550
GCF_001044425.1	Streptomyces roseus	ATCC 31245
GCF_001419745.1	Streptomyces silaceus	NRRL B-24166
GCF_001419765.1	Streptomyces torulosus	NRRL B-3889
GCF_001445655.1	Streptomyces roseifaciens	MBT76
GCF_001482415.1	Streptomyces silvensis	ATCC 53525
GCF_001493375.1	Streptomyces specialis	GW41-1564T
GCF_001509475.1	Streptomyces regalis	NRRL 3151
GCF_001511815.1	Streptomyces reticuli	
GCF_001514035.1	Streptomyces yokosukanensis	DSM 40224
GCF_001514115.1	Streptomyces olivochromogenes	DSM 40451
GCF_001514265.1	Streptomyces resistomycificus	DSM 40133
GCF_001611795.1	Streptomyces qaidamensis	S10
GCF_001660045.1	Streptomyces parvulus	2297
GCF_001704195.1	Streptomyces sampsonii	KJ40
GCF_001750785.1	Streptomyces rubrolavendulae	MJM4426
GCF_001751245.1	Streptomyces oceani	SCSIO 02100
GCF_001751255.1	Streptomyces nanshensis	SCSIO 10429
GCF_002148965.1	Streptomyces swartbergensis	HMC13
GCF_002154615.1	Streptomyces recifensis	NRRL B-3811
GCF_002154675.1	Streptomyces reticuliscabiei	NRRL B-24446
GCF_002155915.1	Streptomyces thermovulgaris	NRRL B-12375
GCF_002911015.1	Streptomyces populi	A249
GCF_002982015.1	Streptomyces solincola	T5
GCF_003074055.1	Streptomyces nigra	452
GCF_003097515.1	Streptomyces tirandamycinicus	HNM0039
GCF_003112535.1	Streptomyces rishiriensis	NBRC 13407
GCF_003121295.1	Streptomyces orinoci	NRRL B-3379
GCF_003122365.1	Streptomyces spongiicola	HNM0071
GCF_003205575.1	Streptomyces tateyamensis	ATCC 21389
GCF_003270085.1	Streptomyces triticisoli	NEAU-DSCPA1-4-4
GCF_003323735.1	Streptomyces reniochalinae	LHW50302
GCF_003344965.1	Streptomyces paludis	GSSD-12
GCF_003391135.1	Streptoverticillium olivoreticuli subsp. olivoreticuli	ATCC 31159
GCF_003429565.1	Streptomyces triticagri	NEAU-YY421
GCF_003626575.1	Streptomyces radicis	DS1-2
GCF_003696235.1	Streptomyces triticirhizae	NEAU-YY642
GCF_003865155.1	Streptomyces paromomycinus	NBRC 15454
GCF_003932715.1	Streptomyces tsukubensis	NRRL 18488
GCF_003999195.1	Streptomyces soli	LAM7114
GCF_004117935.1	Streptomyces roseicoloratus	TRM44457
GCF_004122735.1	Streptomyces sioyaensis	DSM 40032
GCF_004305975.1	Streptomyces otsuchiensis	OTB305
GCF_004328625.1	Streptomyces seoulensis	KCTC 9819
GCF_004794175.1	Streptomyces rhizosphaericola	1AS2c
GCF_005048155.1	Streptomyces piniterrae	jys28
GCF_005517195.1	Streptomyces vilmorinianum	YP1
GCF_005768555.2	Streptomyces sporangiiformans	NEAU-SSA 1
GCF_005869865.1	Streptomyces tibetensis	XZ 46
GCF_006335015.1	Streptomyces sedi	JCM 16909
GCF_006539505.1	Streptomyces spinoverrucosus	NBRC 14228
GCF_006715785.1	Streptomyces puniciscabiei	DSM 41929
GCF_007856155.1	Streptomyces qinzhouensis	SSL-25
GCF_008386495.1	Streptomyces tailanensis	TRM68348
GCF_008639165.1	Streptomyces venezuelae ATCC 10712	ATCC 10712
GCF_008704445.1	Streptomyces prasinus	ATCC 13879
GCF_008704515.1	Streptomyces viridosporus T7A	ATCC 39115
GCF_008704535.1	Streptomyces subrutilus	ATCC 27467
GCF_008704555.1	Streptomyces nitrosporeus	ATCC 12769
GCF_008704795.1	Streptomyces spectabilis	ATCC 27465
GCF_008704855.1	Streptomyces platensis	ATCC 23948
GCF_008704935.1	Streptomyces vinaceus	ATCC 27476
GCF_008704995.1	Streptomyces nodosus	ATCC 14899
GCF_008868685.1	Streptomyces triticiradicis	NEAU-H2
GCF_009184865.1	Streptomyces phaeolivaceus	GY16
GCF_009377185.1	Streptomyces spongiae	NBRC 106415
GCF_009377205.1	Streptomyces phyllanthi	TISTR 2346
GCF_009604385.1	Streptomyces smaragdinus	RB5
GCF_009709575.1	Streptomyces taklimakanensis	TRM43335
GCF_009755605.1	Streptomyces typhae	p1417
GCF_011045015.1	Streptomyces scabichelini	HC44
GCF_011045025.1	Streptomyces ureilyticus	YC419
GCF_011766325.1	Streptomyces pacificus	CWH03
GCF_012034385.1	Streptomyces spiramenti	5675061
GCF_012034935.1	Streptomyces zingiberis	PLAI 1-29
GCF_012273655.1	Streptomyces physcomitrii	LD120
GCF_013363465.1	Streptomyces odorifer	KAI-180
GCF_013394065.1	Streptomyces rectiverticillatus	B15-08
GCF_013870535.1	Streptomyces phytophilus	PIP175
GCF_014070435.1	Streptomyces pristinaespiralis	PR11
GCF_014202475.1	Streptomyces paradoxus	DSM 43350
GCF_014203555.1	Streptomyces olivoverticillatus	CECT 3266
GCF_014203645.1	Streptomyces zagrosensis	CECT 8305
GCF_014203895.1	Streptomyces nymphaeiformis	SFB5A
GCF_014216335.1	Streptomyces rutgersensis	NBH77
GCF_014280945.1	Streptomyces salinarius	SS06011
GCF_014489635.1	Streptomyces roseirectus	CRXT-G-22
GCF_014493765.1	Streptomyces polyasparticus	TRM66268-LWL
GCF_014621695.1	Streptomyces xanthii	CRXT-Y-14
GCF_014648075.1	Streptomyces ruber	JCM 3131
GCF_014648875.1	Streptomyces parvus	JCM 4069
GCF_014648915.1	Streptomyces phaeofaciens	JCM 4125
GCF_014649015.1	Streptomyces narbonensis	JCM 4147
GCF_014649035.1	Streptomyces sindenensis	JCM 4164
GCF_014649335.1	Streptomyces roseolilacinus	JCM 4335
GCF_014649515.1	Streptomyces pilosus	JCM 4372
GCF_014649855.1	Streptomyces roseolus	JCM 4411
GCF_014649895.1	Streptomyces pseudogriseolus	JCM 4416
GCF_014649915.1	Streptomyces toxytricini	JCM 4421
GCF_014649935.1	Streptomyces variabilis	JCM 4422
GCF_014650115.1	Streptomyces olivaceoviridis	JCM 4499
GCF_014650135.1	Streptomyces plicatus	JCM 4504
GCF_014650175.1	Streptomyces termitum	JCM 4518
GCF_014650215.1	Streptomyces vinaceusdrappus	JCM 4529
GCF_014650235.1	Streptomyces violaceochromogenes	JCM 4530
GCF_014650255.1	Streptomyces violarus	JCM 4534
GCF_014650355.1	Streptomyces xanthochromogenes	JCM 4594
GCF_014650435.1	Streptomyces tendae	JCM 4610
GCF_014650575.1	Streptomyces naganishii JCM 4654	JCM 4654
GCF_014650895.1	Streptomyces omiyaensis	JCM 4806
GCF_014650915.1	Streptomyces poonensis	JCM 4815
GCF_014650995.1	Streptomyces viridiviolaceus	JCM 4855
GCF_014651015.1	Streptomyces xantholiticus	JCM 4863
GCF_014654675.1	Streptomyces spiralis	JCM 3302
GCF_014656135.1	Streptomyces thermodiastaticus	JCM 4840
GCF_014656275.1	Streptomyces umbrinus	JCM 4958
GCF_014656295.1	Streptomyces sulfonofaciens	JCM 5069
GCF_014701095.1	Streptomyces tuirus	JCM 4255
GCF_014873495.1	Streptomyces stelliscabiei	DSM 41803
GCF_015244315.1	Streptomyces olivaceus	SCSIO T05
GCF_016031615.1	Streptomyces pactum	ATCC 27456
GCF_016741825.1	Streptomyces siderophoricus	CH9-7
GCF_016741855.1	Streptomyces musisoli	CH5-8
GCF_016755875.1	Streptomyces spororaveus	NBRC 15456
GCF_016804005.1	Streptomyces pratensis	S10
GCF_016860525.1	Streptomyces rubradiris	NBRC 14000
GCF_016917755.1	Streptomyces noursei	A-2-1
GCF_016919245.1	Streptomyces zhihengii	YIM T102
GCF_017114865.1	Streptomyces verrucosisporus	CPB1-1
GCF_017349075.1	Streptomyces triculaminicus	JCM 4242
GCF_017639205.1	Streptomyces nojiriensis	JCM 3382
GCF_017676345.1	Streptomyces smyrnaeus	DSM 42105
GCF_017676365.1	Streptomyces oryzae	S16-07
GCF_017676385.1	Streptomyces spirodelae	DW4-2
GCF_017876235.1	Streptomyces virginiae	DSM 40803
GCF_017876625.1	Streptomyces syringium	DSM 41480
GCF_018069565.1	Streptomyces tagetis	RG38
GCF_018069625.1	Streptomyces yatensis	DSM 41771
GCF_018101125.2	Streptomyces tardus	P38-E01
GCF_018138705.1	Streptomyces rhizosphaericus	DSM 41759
GCF_018883605.1	Streptomyces niphimycinicus	4503
GCF_019857225.1	Streptomyces plumbidurans	KC 17012
GCF_019890635.1	Streptomyces sennicomposti	RCPT1-4
GCF_020024005.1	Streptomyces purpurogeneiscleroticus	DSM 43156
GCF_020312145.1	Streptomyces werraensis	O57
GCF_020312315.1	Streptomyces solaniscabiei	FS70
GCF_020328095.1	Streptomyces sichuanensis	SCA3-4
GCF_020400595.2	Streptomyces naphthomycinicus	TML10
GCF_020400655.1	Streptomyces spinosus	SBTS01
GCF_020521295.1	Streptomyces violascens	NBRC 12920
GCF_020564935.1	Streptomyces pinistramenti	SF28
GCF_020740535.1	Streptomyces profundus	MA3_2.13
GCF_021441825.1	Streptomyces spinosirectus	CRSS-Y-16
GCF_021462265.1	Streptomyces shenzhenensis	DSM 42034
GCF_022698145.1	Streptomyces spinosisporus	7R016
GCF_022699385.1	Streptomyces tubbatahanensis	DSD3025
GCF_023155275.1	Streptomyces rhizoryzae	RS10V-4
GCF_023516615.1	Streptomyces panaciradicis	NBRC 109811
GCF_023614315.1	Streptomyces sudanensis	SD 504
GCF_023923245.1	Streptomyces phaeoluteigriseus	Qhu-M197
GCF_024298965.1	Streptomyces rapamycinicus NRRL 5491	NRRL 5491
GCF_024349285.1	Streptomyces somaliensis DSM 40738	DSM 40738
GCF_024435355.1	Streptomyces odontomachi	ODS25
GCF_024505145.1	Streptomyces rugosispiralis	RCU-064
GCF_024519335.1	Streptomyces telluris	AA8
GCF_024666385.1	Streptomyces yangpuensis	CM253
GCF_024753135.1	Streptomyces pyxinicus	LP11
GCF_024756275.1	Streptomyces pyxinae	LP05-1
GCF_024760485.1	Streptomyces thermocarboxydus	K155
GCF_025399795.1	Streptomyces rhizosphaerihabitans	ASQP_78
GCF_026341275.1	Streptomyces ortus	A15ISP2-DRY2
GCF_026427415.1	Streptomyces tanashiensis	Kala
GCF_027497495.1	Streptomyces tubercidicus	DSM 40261
GCF_027626975.1	Streptomyces nigrescens	DSM 40276
GCF_027947575.1	Streptomyces rubrogriseus	NBRC 15455
GCF_028421465.1	Streptomyces xanthophaeus	KPP03845
GCF_028807635.1	Streptomyces spiramyceticus	F2R-15
GCF_028863365.1	Streptomyces neyagawaensis	JCM 4796
GCF_029011865.1	Streptomyces yunnanensis	P86
GCF_029269835.1	Streptomyces tropicalis	K1PA1
GCF_029269905.1	Streptomyces silvisoli	RB6PN23
GCF_029968095.1	Streptomyces solicavernae	B-S-A8
GCF_030077645.1	Streptomyces pakalii	ENCB-J15
GCF_030490905.1	Streptomyces olivoreticuli	ZZ-21
GCF_030719255.1	Streptomyces poriferorum	Alt1
GCF_030863865.1	Streptomyces rochei	JK1
GCF_031845605.1	Streptomyces salyersiae	DSM 41770
GCF_031845765.1	Streptomyces stephensoniae	DSM 40932
GCF_032248595.1	Streptomyces winkii	DSM 40971
GCF_032248615.1	Streptomyces stackebrandtii	DSM 40976
GCF_032248645.1	Streptomyces zaehneri	DSM 40713
GCF_032423885.1	Streptomyces tamarix	TRM76323
GCF_032656605.1	Streptomyces sasae	JR-39
GCF_033343995.1	Streptomyces solicathayae	HUAS YS2
GCF_033406955.1	Streptomyces violaceoruber	CGMCC 4.1801
GCF_033794345.1	Streptomyces niveiscabiei	MD20-5-1
GCF_033794965.1	Streptomyces turgidiscabies	ATCC 700248
GCF_034961445.1	Streptomyces yaizuensis	YSPA8
GCF_035917595.1	Streptomyces scopuliridis	NBC 01786
GCF_035957715.1	Streptomyces phaeochromogenes	NBC_01328
GCF_036014075.1	Streptomyces violaceus	NBC_00450
GCF_036035005.1	Streptomyces zaomyceticus	NBC_00415
GCF_036204065.1	Streptomyces tauricus	NBC_00189
GCF_036227585.1	Streptomyces niveus	NBC_01447
GCF_036250755.1	Streptomyces uncialis	NBC_01365
GCF_036345035.1	Streptomyces pseudovenezuelae	NBC_00598
GCF_036689765.1	Streptomyces poriticola	C6-003
GCF_036898485.1	Streptomyces silvae	B21-103
GCF_037414505.1	Streptomyces netropsis	M-141
GCF_037860615.1	Streptomyces pratisoli	MS1.AVA.4
GCF_039521165.1	Streptomyces polychromogenes	JCM 4505
GCF_039521225.1	Streptomyces olivaceiscleroticus	JCM 4805
GCF_039524635.1	Streptomyces thermocarboxydovorans	JCM 10367
GCF_039524935.1	Streptomyces stramineus	JCM 10649
GCF_039525155.1	Streptomyces thermoalcalitolerans	JCM 10673
GCF_039525705.1	Streptomyces thermogriseus	JCM 11269
GCF_039526425.1	Streptomyces thermospinosisporus	JCM 11756
GCF_039529215.1	Streptomyces sodiiphilus	JCM 13581
GCF_039531005.1	Streptomyces synnematoformans	JCM 15481
GCF_039532825.1	Streptomyces vastus	JCM 4524
GCF_039532845.1	Streptomyces violaceolatus	JCM 4531
GCF_039532885.1	Streptomyces nogalater	JCM 4799
GCF_039532905.1	Streptomyces roseiscleroticus	JCM 4823
GCF_039532925.1	Streptomyces violaceusniger	JCM 4850
GCF_039532945.1	Streptomyces viridochromogenes	JCM 4856
GCF_039533575.1	Streptomyces pulveraceus	JCM 7545
GCF_039533825.1	Streptomyces rectiviolaceus	JCM 9092
GCF_039533845.1	Streptomyces virens	JCM 9095
GCF_039534525.1	Streptomyces rameus	JCM 11574
GCF_039534915.1	Streptomyces roseofulvus	JCM 4334
GCF_039534955.1	Streptomyces ramulosus	JCM 4193
GCF_039535215.1	Streptomyces racemochromogenes	JCM 4407
GCF_039535235.1	Streptomyces roseoviridis	JCM 4414
GCF_039535415.1	Streptomyces yanii	JCM 3331
GCF_039535455.1	Streptomyces prasinosporus	JCM 4816
GCF_039535475.1	Streptomyces showdoensis	JCM 4830
GCF_039535865.1	Streptomyces thioluteus	JCM 4087
GCF_039536205.1	Streptomyces sannanensis	JCM 9651
GCF_039537125.1	Streptomyces plumbiresistens	JCM 16924
GCF_039537145.1	Streptomyces shaanxiensis	JCM 16925
GCF_039538125.1	Streptomyces tunisiensis	JCM 17589
GCF_039538545.1	Streptomyces osmaniensis	JCM 17656
GCF_039540215.1	Streptomyces tremellae	JCM 30846
GCF_039540295.1	Streptomyces venetus	JCM 31290
GCF_039542605.1	Streptomyces ziwulingensis	JCM 18081
GCF_039543405.1	Streptomyces thinghirensis	JCM 18306
GCF_039543425.1	Streptomyces youssoufiensis	JCM 18307
GCF_039543485.1	Streptomyces sanyensis	JCM 18324
GCF_039543605.1	Streptomyces siamensis	JCM 18409
GCF_039543625.1	Streptomyces similanensis	JCM 18410
GCF_040302545.1	Streptomyces pharetrae	NPDC126476
GCF_040529335.1	Streptomyces tabacisoli	HUAS MG91
GCF_040560175.1	Streptomyces panacea	PSRA5
GCF_040612295.1	Streptomyces ossamyceticus	NPDC006434
GCF_040645895.1	Streptomyces olindensis	NPDC046612
GCF_040650805.1	Streptomyces pathocidini	NPDC048614
GCF_040678695.1	Streptomyces nondiastaticus	NPDC052563
GCF_040746085.1	Streptomyces phytohabitans	HBERC20821
GCF_040782645.1	Streptomyces secundicynarae	HUAS ZL42
GCF_040907265.1	Streptomyces sclerotialus	NRRL ISP-5269
GCF_041363955.1	Streptomyces sanglieri	PU_15B
GCF_041380215.1	Streptomyces pimonensis	TRM75549
GCF_042429225.1	Streptomyces thermocoprophilus	JCM 10918
GCF_042434075.1	Streptomyces palmae	TBRC 1999
GCF_042434995.1	Streptomyces noboritoensis	JCM 4557
GCF_042648045.1	Streptomyces yaanensis	CGMCC 4.7035
GCF_042650325.1	Streptomyces polygonati	CGMCC 4.7237
GCF_042653885.1	Streptomyces ovatisporus	CGMCC 4.7357
GCF_042653945.1	Streptomyces vulcanius	CGMCC 4.7177
GCF_042654925.1	Streptomyces xiangluensis	CGMCC 4.7466
GCF_042657935.1	Streptomyces mutomycini	CGMCC 4.1747
GCF_042658125.1	Streptomyces pratens	CGMCC 4.5800
GCF_042663125.1	Streptomyces polyrhachis	CGMCC 4.7094
GCF_042956545.1	Streptomyces tricolor	NPDC008224
GCF_044453005.1	Streptomyces rubiginosohelvolus	NPDC051783
GCF_044903365.1	Streptomyces sparsogenes	NPDC021451
GCF_044987285.1	Streptomyces thermolineatus	NAK03196
GCF_045040895.1	Streptomyces purpurascens	NBC_00017
GCF_045162825.1	Streptomyces prunicolor	NBC_01021
GCF_045209695.1	Streptomyces thermoviolaceus	NBC 01629
GCF_045348655.1	Streptomyces solicamelliae	HUAS MG47
GCF_045519255.1	Streptomyces okerensis	DSM 116494
GCF_045690365.1	Streptomyces sirii	BP-8
GCF_045822005.1	Streptomyces stoeckheimensis	DSM 116496
GCF_046614825.1	Streptomyces nanhaiensis	KCTC19401
GCF_046628145.1	Streptomyces mutabilis	MPB24
GCF_047049295.1	Streptomyces sediminimaris	MCC20
GCF_047456005.1	Streptoverticillium reticulum	J-35
GCF_048500665.1	Streptomyces tritici	CGMCC 4.7393
GCF_049239045.1	Streptomyces soliscabiei	NY05-11A
GCF_049310105.1	Streptomyces tritrimontium	2.9
GCF_050106155.1	Streptomyces nidicola	BH106
GCF_051172975.1	Streptomyces scabiei	ATCC 49173
GCF_052936015.1	Streptomyces rosealbus	DSM 41833
GCF_054602395.1	Streptomyces sundarbansensis	DSM 42019
GCF_054776295.1	Streptomyces sparsus	JCM 19151
GCF_054783935.1	Streptomyces pseudoechinosporeus	JCM 3066
GCF_900101585.1	Streptomyces prasinopilosus	CGMCC 4.3504
GCF_900103455.1	Streptomyces wuyuanensis	CGMCC 4.7042
GCF_900110735.1	Streptomyces radiopugnans	CGMCC 4.3519
GCF_900111245.1	Streptomyces qinglanensis	CGMCC 4.6825
GCF_900114215.1	Streptomyces pini	PL19
GCF_900230195.1	Streptomyces zhaozhouensis	CGMCC 4.7095
