SCO_ID	cistron_id	regulator_flag	source
SCO2730	cistron1891	1	CastroMelchor_2010
SCO2734	cistron1894	1	CastroMelchor_2010
SCO2742	cistron1901	1	CastroMelchor_2010
SCO2745	cistron1904	1	CastroMelchor_2010
SCO2746	cistron1904	1	CastroMelchor_2010
SCO2747	cistron1904	1	CastroMelchor_2010
SCO2757	cistron1910	1	CastroMelchor_2010
SCO2792	cistron1934	1	CastroMelchor_2010
SCO2794	cistron1936	1	CastroMelchor_2010
SCO2800	cistron1940	1	CastroMelchor_2010
SCO2801	cistron1940	1	CastroMelchor_2010
SCO2815	cistron1953	1	CastroMelchor_2010
SCO2832	cistron1964	1	CastroMelchor_2010
SCO2844	cistron1974	1	CastroMelchor_2010
SCO2845	cistron1974	1	CastroMelchor_2010
SCO2846	cistron1975	1	CastroMelchor_2010
SCO2865	cistron1991	1	CastroMelchor_2010
SCO2924	cistron2029	1	CastroMelchor_2010
SCO2928	cistron2033	1	CastroMelchor_2010
SCO2935	cistron2037	1	CastroMelchor_2010
SCO2950	cistron2047	1	CastroMelchor_2010
SCO2953	cistron2050	1	CastroMelchor_2010
SCO2954	cistron2050	1	CastroMelchor_2010
SCO2958	cistron2054	1	CastroMelchor_2010
SCO2964	cistron2058	1	CastroMelchor_2010
SCO2973	cistron2066	1	CastroMelchor_2010
SCO2974	cistron2066	1	CastroMelchor_2010
SCO2987	cistron2073	1	CastroMelchor_2010
SCO3008	cistron2088	1	CastroMelchor_2010
SCO3011	cistron2090	1	CastroMelchor_2010
SCO3012	cistron2090	1	CastroMelchor_2010
SCO3013	cistron2090	1	CastroMelchor_2010
SCO3014	cistron2090	1	CastroMelchor_2010
SCO3017	cistron2093	1	CastroMelchor_2010
SCO3018	cistron2093	1	CastroMelchor_2010
SCO3019	cistron2093	1	CastroMelchor_2010
SCO3032	cistron2105	1	CastroMelchor_2010
SCO3033	cistron2105	1	CastroMelchor_2010
SCO3034	cistron2105	1	CastroMelchor_2010
SCO3063	cistron2130	1	CastroMelchor_2010
SCO3066	cistron2133	1	CastroMelchor_2010
SCO3067	cistron2134	1	CastroMelchor_2010
SCO3068	cistron2135	1	CastroMelchor_2010
SCO3075	cistron2138	1	CastroMelchor_2010
SCO3102	cistron2160	1	CastroMelchor_2010
SCO3103	cistron2160	1	CastroMelchor_2010
SCO3119	cistron2172	1	CastroMelchor_2010
SCO3128	cistron2179	1	CastroMelchor_2010
SCO3129	cistron2179	1	CastroMelchor_2010
SCO3133	cistron2182	1	CastroMelchor_2010
SCO3134	cistron2183	1	CastroMelchor_2010
SCO3144	cistron2188	1	CastroMelchor_2010
SCO3167	cistron2203	1	CastroMelchor_2010
SCO3173	cistron2207	1	CastroMelchor_2010
SCO3196	cistron2226	1	CastroMelchor_2010
SCO3197	cistron2226	1	CastroMelchor_2010
SCO3198	cistron2226	1	CastroMelchor_2010
SCO3200	cistron2228	1	CastroMelchor_2010
SCO3201	cistron2229	1	CastroMelchor_2010
