idx	TF_name	TF_SCO	TF_description	TG_name	TG_SCO	experiment	evidence	regulatory_function	evidence_classification	PubMed ID	Reference DOI	Year	Notes	TF_gene_id	TG_gene_id	source
	hspR	SCO3668	Putative heat shock protein HspR	grpE	SCO3670	IVT, S1	IVTA	repression	Strong	9324243	10.1128/jb.179.19.5999-6004.1997	1997		SC_RS20475	SC_RS20485	ZorroAranda2022_Curated
	hspR	SCO3668	Putative heat shock protein HspR	dnaK	SCO3671	IVT, S1	IVTA	repression	Strong	9324243	10.1128/jb.179.19.5999-6004.1997	1997		SC_RS20475	SC_RS20490	ZorroAranda2022_Curated
	hspR	SCO3668	Putative heat shock protein HspR	groEL2	SCO4296	S1	GEA	repression	Weak	9324243	10.1128/jb.179.19.5999-6004.1997	1997		SC_RS20475	SC_RS23665	ZorroAranda2022_Curated
	sigF	SCO4035	RNA polymerase sigma-F factor	whiE-orf8	SCO5321	IVT	IVTA	activation	Strong	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS22295	SC_RS28785	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	sigF	SCO4035	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS22295	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf7	SCO5314	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28750	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf6	SCO5315	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28755	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf5	SCO5316	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28760	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf4	SCO5317	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28765	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf3	SCO5318	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28770	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf2	SCO5319	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28775	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf1	SCO5320	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28780	ZorroAranda2022_Curated
	whiA	SCO1950	Probable cell division protein WhiA	whiE-orf8	SCO5321	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS11780	SC_RS28785	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	sigF	SCO4035	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS22295	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf7	SCO5314	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28750	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf6	SCO5315	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28755	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf5	SCO5316	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28760	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf4	SCO5317	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28765	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf3	SCO5318	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28770	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf2	SCO5319	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28775	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf1	SCO5320	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28780	ZorroAranda2022_Curated
	whiB	SCO3034	Transcriptional regulator WhiB	whiE-orf8	SCO5321	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS17285	SC_RS28785	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf7	SCO5314	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28750	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf6	SCO5315	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28755	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf5	SCO5316	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28760	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf4	SCO5317	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28765	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf3	SCO5318	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28770	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf2	SCO5319	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28775	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf1	SCO5320	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28780	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	whiE-orf8	SCO5321	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS24870	SC_RS28785	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	sigF	SCO4035	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS22295	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf7	SCO5314	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28750	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf6	SCO5315	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28755	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf5	SCO5316	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28760	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf4	SCO5317	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28765	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf3	SCO5318	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28770	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf2	SCO5319	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28775	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf1	SCO5320	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28780	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	whiE-orf8	SCO5321	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS30330	SC_RS28785	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf7	SCO5314	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28750	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf6	SCO5315	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28755	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf5	SCO5316	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28760	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf4	SCO5317	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28765	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf3	SCO5318	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28770	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf2	SCO5319	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28775	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf1	SCO5320	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28780	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	whiE-orf8	SCO5321	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS31335	SC_RS28785	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	sigF	SCO4035	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS22295	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf7	SCO5314	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28750	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf6	SCO5315	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28755	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf5	SCO5316	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28760	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf4	SCO5317	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28765	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf3	SCO5318	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28770	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf2	SCO5319	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28775	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf1	SCO5320	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28780	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	whiE-orf8	SCO5321	S1	GEA	activation	Weak	9573206	10.1128/JB.180.9.2515-2521.1998	1998		SC_RS32380	SC_RS28785	ZorroAranda2022_Curated
	absA2	SCO3226	Two component system response regulator	actVI-orf1	SCO5072	S1	GEA	activation	Weak	9620958	10.1128/JB.180.12.3100-3106.1998	1998		SC_RS18245	SC_RS27520	ZorroAranda2022_Curated
	absA2	SCO3226	Two component system response regulator	actII-orf4	SCO5085	S1	GEA	activation	Weak	9620958	10.1128/JB.180.12.3100-3106.1998	1998		SC_RS18245	SC_RS27585	ZorroAranda2022_Curated
	absA2	SCO3226	Two component system response regulator	actI-orf1	SCO5087	S1	GEA	activation	Weak	9620958	10.1128/JB.180.12.3100-3106.1998	1998		SC_RS18245	SC_RS27595	ZorroAranda2022_Curated
	absA2	SCO3226	Two component system response regulator	redD	SCO5877	S1	GEA	activation	Weak	9620958	10.1128/JB.180.12.3100-3106.1998	1998		SC_RS18245	SC_RS31630	ZorroAranda2022_Curated
