GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj	comparison	direction
GO:0006098	8	11	0.006168080185042405	0.0022703818369453044	2.716758954230041	0.001910177335677382	0.0138323186376638	T3vsT1	Down
GO:0008955	7	9	0.005397070161912105	0.0018575851393188853	2.9054227704960165	0.0020631022192176105	0.014441715534523274	T3vsT1	Down
GO:0051301	9	14	0.006939090208172706	0.002889576883384933	2.40142086132834	0.00355350319906055	0.02407211844524889	T3vsT1	Down
GO:0000287	18	38	0.013878180416345412	0.00784313725490196	1.76946800308404	0.00502751103056381	0.02467669874012133	T3vsT1	Down
GO:0001522	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0009451	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0009982	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0043022	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0033308	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0051470	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0033286	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0033288	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0003918	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0019288	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0009234	4	4	0.0030840400925212026	8.25593395252838e-4	3.7355435620663067	0.0051181363595062075	0.02467669874012133	T3vsT1	Down
GO:0016790	7	10	0.005397070161912105	0.0020639834881320948	2.614880493446415	0.005287864015740285	0.02467669874012133	T3vsT1	Down
GO:0006099	7	10	0.005397070161912105	0.0020639834881320948	2.614880493446415	0.005287864015740285	0.02467669874012133	T3vsT1	Down
GO:0006414	5	6	0.0038550501156515036	0.001238390092879257	3.112952968388589	0.006377549976183195	0.027901781145801476	T3vsT1	Down
GO:0003746	5	6	0.0038550501156515036	0.001238390092879257	3.112952968388589	0.006377549976183195	0.027901781145801476	T3vsT1	Down
GO:0006400	5	6	0.0038550501156515036	0.001238390092879257	3.112952968388589	0.006377549976183195	0.027901781145801476	T3vsT1	Down
GO:0005886	33	85	0.025443330763299923	0.017543859649122806	1.4502698535080958	0.009685446499670609	0.041509056427159755	T3vsT1	Down
GO:0008654	11	21	0.008481110254433308	0.0043343653250774	1.9567132944156844	0.010932831944220367	0.045917894165725545	T3vsT1	Down
GO:0016491	94	264	0.08075601374570447	0.05448916408668731	1.4820563886285536	9.189315926777457e-6	6.393029361425246e-4	T2vsT1	Up
GO:0010124	8	8	0.006872852233676976	0.001651186790505676	4.162371134020619	1.0897209138793034e-5	6.393029361425246e-4	T2vsT1	Up
GO:0006817	8	8	0.006872852233676976	0.001651186790505676	4.162371134020619	1.0897209138793034e-5	6.393029361425246e-4	T2vsT1	Up
GO:0004497	17	28	0.014604810996563574	0.005779153766769866	2.527153902798233	3.5968986807916385e-5	0.001582635419548321	T2vsT1	Up
GO:0052699	5	5	0.00429553264604811	0.0010319917440660474	4.162371134020619	7.95164127590363e-4	0.019992698065129128	T2vsT1	Up
GO:0010498	5	5	0.00429553264604811	0.0010319917440660474	4.162371134020619	7.95164127590363e-4	0.019992698065129128	T2vsT1	Up
GO:0015415	5	5	0.00429553264604811	0.0010319917440660474	4.162371134020619	7.95164127590363e-4	0.019992698065129128	T2vsT1	Up
GO:0016705	10	16	0.00859106529209622	0.003302373581011352	2.601481958762887	0.0011588028831361695	0.025493663428995728	T2vsT1	Up
GO:0006633	16	34	0.013745704467353952	0.007017543859649123	1.958762886597938	0.002744734959869873	0.04492656228998877	T2vsT1	Up
