pathway_id	pathway_name	gene
sco00061	Fatty acid biosynthesis	SCO7329
sco00061	Fatty acid biosynthesis	SCO7810
sco00061	Fatty acid biosynthesis	SCP1.233B
sco00071	Fatty acid degradation	SCO0199
sco00071	Fatty acid degradation	SCO1324
sco00071	Fatty acid degradation	SCO1330
sco00071	Fatty acid degradation	SCO1690
sco00071	Fatty acid degradation	SCO1705
sco00071	Fatty acid degradation	SCO1706
sco00071	Fatty acid degradation	SCO1750
sco00071	Fatty acid degradation	SCO2106
sco00071	Fatty acid degradation	SCO2131
sco00071	Fatty acid degradation	SCO2469
sco00071	Fatty acid degradation	SCO2561
sco00071	Fatty acid degradation	SCO2720
sco00071	Fatty acid degradation	SCO2774
sco00071	Fatty acid degradation	SCO3079
sco00071	Fatty acid degradation	SCO3247
sco00071	Fatty acid degradation	SCO3420
sco00071	Fatty acid degradation	SCO4502
sco00071	Fatty acid degradation	SCO4503
sco00071	Fatty acid degradation	SCO4913
sco00071	Fatty acid degradation	SCO5399
sco00071	Fatty acid degradation	SCO5459
sco00071	Fatty acid degradation	SCO5984
sco00071	Fatty acid degradation	SCO6027
sco00071	Fatty acid degradation	SCO6552
sco00071	Fatty acid degradation	SCO6731
sco00071	Fatty acid degradation	SCO6732
sco00071	Fatty acid degradation	SCO6787
sco00071	Fatty acid degradation	SCO6788
sco00071	Fatty acid degradation	SCO6789
sco00071	Fatty acid degradation	SCO6968
sco00071	Fatty acid degradation	SCO7117
sco00071	Fatty acid degradation	SCO7139
sco00071	Fatty acid degradation	SCO7329
sco00071	Fatty acid degradation	SCO7362
sco00074	Mycolic acid biosynthesis	SCO1814
sco00074	Mycolic acid biosynthesis	SCO2387
sco00074	Mycolic acid biosynthesis	SCO4744
sco00074	Mycolic acid biosynthesis	SCO4921
sco00074	Mycolic acid biosynthesis	SCO4925
sco00074	Mycolic acid biosynthesis	SCO4926
sco00074	Mycolic acid biosynthesis	SCO6271
sco00074	Mycolic acid biosynthesis	SCO6609
sco00074	Mycolic acid biosynthesis	SCO6673
sco00074	Mycolic acid biosynthesis	SCO6717
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO2927
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4326
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4327
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4490
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4491
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4492
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4494
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4506
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4550
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4556
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO4593
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	SCO5662
sco00190	Oxidative phosphorylation	SCO0158
sco00190	Oxidative phosphorylation	SCO0166
sco00190	Oxidative phosphorylation	SCO0922
sco00190	Oxidative phosphorylation	SCO0923
sco00190	Oxidative phosphorylation	SCO0924
sco00190	Oxidative phosphorylation	SCO1930
sco00190	Oxidative phosphorylation	SCO1934
sco00190	Oxidative phosphorylation	SCO2148
sco00190	Oxidative phosphorylation	SCO2149
sco00190	Oxidative phosphorylation	SCO2150
sco00190	Oxidative phosphorylation	SCO2151
sco00190	Oxidative phosphorylation	SCO2154
sco00190	Oxidative phosphorylation	SCO2155
sco00190	Oxidative phosphorylation	SCO2156
sco00190	Oxidative phosphorylation	SCO3092
sco00190	Oxidative phosphorylation	SCO3392
sco00190	Oxidative phosphorylation	SCO3409
sco00190	Oxidative phosphorylation	SCO3945
sco00190	Oxidative phosphorylation	SCO3946
sco00190	Oxidative phosphorylation	SCO4119
sco00190	Oxidative phosphorylation	SCO4145
sco00190	Oxidative phosphorylation	SCO4562
sco00190	Oxidative phosphorylation	SCO4563
sco00190	Oxidative phosphorylation	SCO4564
sco00190	Oxidative phosphorylation	SCO4565
sco00190	Oxidative phosphorylation	SCO4566
sco00190	Oxidative phosphorylation	SCO4567
sco00190	Oxidative phosphorylation	SCO4568
sco00190	Oxidative phosphorylation	SCO4569
sco00190	Oxidative phosphorylation	SCO4570
sco00190	Oxidative phosphorylation	SCO4571
sco00190	Oxidative phosphorylation	SCO4572
sco00190	Oxidative phosphorylation	SCO4573
sco00190	Oxidative phosphorylation	SCO4574
sco00190	Oxidative phosphorylation	SCO4575
sco00190	Oxidative phosphorylation	SCO4599
sco00190	Oxidative phosphorylation	SCO4600
sco00190	Oxidative phosphorylation	SCO4601
sco00190	Oxidative phosphorylation	SCO4602
sco00190	Oxidative phosphorylation	SCO4603
sco00190	Oxidative phosphorylation	SCO4604
sco00190	Oxidative phosphorylation	SCO4605
sco00190	Oxidative phosphorylation	SCO4606
sco00190	Oxidative phosphorylation	SCO4607
sco00190	Oxidative phosphorylation	SCO4608
sco00190	Oxidative phosphorylation	SCO4855
sco00190	Oxidative phosphorylation	SCO4856
sco00190	Oxidative phosphorylation	SCO4857
sco00190	Oxidative phosphorylation	SCO4858
sco00190	Oxidative phosphorylation	SCO5106
sco00190	Oxidative phosphorylation	SCO5107
sco00190	Oxidative phosphorylation	SCO5367
sco00190	Oxidative phosphorylation	SCO5368
sco00190	Oxidative phosphorylation	SCO5369
sco00190	Oxidative phosphorylation	SCO5370
sco00190	Oxidative phosphorylation	SCO5371
sco00190	Oxidative phosphorylation	SCO5372
sco00190	Oxidative phosphorylation	SCO5373
sco00190	Oxidative phosphorylation	SCO5374
sco00190	Oxidative phosphorylation	SCO6496
sco00190	Oxidative phosphorylation	SCO6560
sco00190	Oxidative phosphorylation	SCO7101
sco00190	Oxidative phosphorylation	SCO7109
