occ2k	LFC_T2vsT1	region
77.71	-0.7349754452201004	0
0.0	-2.742475874392498	0
208.59	1.230428479243588	0
156.02	0.1078268639887354	0
76.58	-0.7118992266088117	0
0.0	-0.6102359269250709	0
78.36	2.4478129572402416	0
80.13	1.3277305525245755	0
0.0	-1.5498489543450966	0
142.42000000000002	-0.2613866005478055	0
62.61	-0.5661289350968162	0
0.0	3.6890665244051695	0
64.72	2.1231739543915493	0
64.72	-1.5746384719887423	0
171.94	-1.5624594138570886	0
87.72	0.4402004152934874	0
87.72	-1.8167566366869272	0
0.0	-0.3231041185646008	0
0.0	-0.9288366549900312	0
228.34000000000003	-0.936015561425914	0
228.34000000000003	-1.7970783779029191	0
80.73	-1.571322682931436	0
0.0	-1.3480782587503002	0
0.0	-1.3222267322689032	0
0.0	-2.524458093106345	0
0.0	-0.1927766726713451	0
0.0	-1.1054600380815596	0
0.0	-1.2079929326540595	0
89.95	-2.727342227863869	0
0.0	-0.6323857389663057	0
0.0	-0.101567528967933	0
0.0	0.6024740268693711	0
0.0	-2.0652461669455877	0
84.22	1.3698366358429046	0
247.54	-1.205765616879327	0
158.15	-0.8571986010981619	0
94.33	-2.2798853152190977	0
65.66	-1.4000332177522306	0
145.58	0.0492268027202965	0
145.58	-1.3478537192778712	0
0.0	0.3263885896825622	0
0.0	0.8481791523313935	0
0.0	4.939406509538911	0
0.0	2.0018099990246654	0
0.0	0.2989238993813005	0
0.0	-0.209928149986379	0
94.06	-0.967189016491167	0
90.17	-1.4578583039993318	0
90.17	-0.4996091207829694	0
180.24	-0.5614154947959401	0
85.53	0.3372120358810323	0
85.53	5.824307395274568	0
0.0	1.475222471033223	0
86.15	0.3273725462957085	0
90.7	-2.17145770037917	0
124.19	-1.6047966712141806	0
124.19	-1.040301816310672	0
153.1	-1.3875765985470283	0
0.0	-0.4834644641256183	0
93.64	-1.2035966688171895	0
81.07	-1.02524124721721	0
0.0	-2.383232055363211	0
62.92	0.4513157771405439	0
162.22	0.9238363450830216	0
52.83	-0.3572705276266575	0
0.0	-0.2632247148964326	0
82.74	-0.3902521759323373	0
87.37	-1.258153952747587	0
87.37	-1.4448293409983173	0
87.37	-2.8452588985786473	0
0.0	5.322267550234008	0
93.99	-1.018259879132294	0
62.48	-3.0458921264373755	0
156.85	-1.921310905083662	0
151.77	-1.5487193119762634	0
194.74	-0.0593562606039366	0
0.0	-1.272316820268741	0
0.0	0.2293128645391418	0
0.0	-1.030577704513464	0
0.0	-0.3090146874217956	0
0.0	-1.2520153596365848	0
258.42	-1.7170840522337387	0
0.0	0.3858780424918331	0
0.0	0.2270905287033875	0
146.57	1.835086357005902	0
90.22	0.281321289476046	0
0.0	-2.2543700120671244	0
79.44	-0.7524789925700364	0
71.94	-2.4778833850748785	0
