region_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
core_non_regulatory	-1500.0	0.5142790805665196	0.46436034362665424	0.5688414209426514	4307
core_non_regulatory	-1300.0	0.509635477130253	0.4597167401903877	0.5665196192245182	4307
core_non_regulatory	-1100.0	0.5630369166473183	0.5131181797074529	0.6199210587415834	4307
core_non_regulatory	-900.0	0.5409798003250522	0.48987114000464355	0.6001857441374506	4307
core_non_regulatory	-700.0	0.5235662874390526	0.4666821453447875	0.5769677269561179	4307
core_non_regulatory	-500.0	0.46552124448572085	0.41673438588344547	0.5189517065242627	4307
core_non_regulatory	-300.0	0.5049918736939865	0.45275133503598786	0.5583933132110517	4307
core_non_regulatory	-100.0	0.46552124448572085	0.41676340840492215	0.5154399814255862	4307
core_non_regulatory	100.0	0.46784304620385414	0.42024611098212206	0.5189807290457393	4307
core_non_regulatory	300.0	0.5572324123519851	0.5003482702577199	0.6153064778267935	4307
core_non_regulatory	500.0	0.5177617831437195	0.46781402368237746	0.5781286278151845	4307
core_non_regulatory	700.0	0.5386579986069189	0.48406663570931036	0.5967030415602507	4307
core_non_regulatory	900.0	0.5491061063385186	0.4957046668214534	0.608312050150917	4307
core_non_regulatory	1100.0	0.5665196192245182	0.5119282563269096	0.6268864638959832	4307
core_non_regulatory	1300.0	0.5502670071975853	0.49567564429997674	0.6071511492918504	4307
core_non_regulatory	1500.0	0.5409798003250522	0.49106106338518685	0.5978639424193173	4307
core_non_regulatory	1700.0	0.5456234037613187	0.49454376596238675	0.6013466449965172	4307
core_non_regulatory	1900.0	0.5270489900162526	0.4701648479219874	0.5827722312514511	4307
core_non_regulatory	2100.0	0.5189226840027861	0.46203854190852095	0.5723241235198513	4307
core_non_regulatory	2300.0	0.48409565823078704	0.43646970048757827	0.5352043185511957	4307
core_non_regulatory	2500.0	0.5212444857209194	0.46897492454144407	0.5758648711400045	4307
core_non_regulatory	2700.0	0.5142790805665196	0.45855583933132105	0.5746459252379846	4307
core_non_regulatory	2900.0	0.5003482702577199	0.44810773159972134	0.5525888089157185	4307
core_non_regulatory	3100.0	0.5212444857209194	0.46900394706292076	0.5735140469003946	4307
core_non_regulatory	3300.0	0.535175296029719	0.47826213141397717	0.5908985372649175	4307
core_non_regulatory	3500.0	0.5061527745530531	0.45623403761318776	0.5584223357325283	4307
core_non_regulatory	3700.0	0.5316925934525191	0.47942303227304384	0.5850940329695843	4307
core_non_regulatory	3900.0	0.5154399814255862	0.46203854190852095	0.5676805200835848	4307
core_non_regulatory	4100.0	0.5421407011841188	0.48522753656837697	0.5978639424193173	4307
core_non_regulatory	4300.0	0.5444625029022521	0.4864174599489203	0.6048583700951937	4307
core_non_regulatory	4500.0	0.48873926166705356	0.43646970048757827	0.5386579986069189	4307
