locus_tag	is_coordinated	coordination_primary	region	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1
SC_RS08590	False	non_coordinated	arm	1	2	1	-0.5196568516919353
SC_RS08620	False	non_coordinated	arm	2	2	0	2.42716860395486
SC_RS08625	False	non_coordinated	arm	1	1	0	0.1790808084234603
SC_RS08660	False	non_coordinated	arm	0	0	0	-0.938217183543405
SC_RS08720	False	non_coordinated	arm	3	4	1	-0.2001500627830274
SC_RS08730	False	non_coordinated	arm	2	2	0	0.4642671817574481
SC_RS08755	False	non_coordinated	arm	2	2	0	-0.884305093752802
SC_RS08795	False	non_coordinated	arm	1	1	0	-1.825771016749667
SC_RS08810	False	non_coordinated	arm	1	1	0	0.1370891249302437
SC_RS08815	False	non_coordinated	arm	1	1	0	0.3175114960226742
SC_RS08845	False	non_coordinated	arm	0	0	0	2.003471141904424
SC_RS08870	False	non_coordinated	arm	2	1	-1	0.8808278556898363
SC_RS08880	False	non_coordinated	arm	1	0	-1	-0.9279968590528116
SC_RS09025	False	non_coordinated	core	1	1	0	-1.665351574649326
SC_RS09060	False	non_coordinated	core	0	3	3	-0.3201712877947654
SC_RS09100	False	non_coordinated	core	2	2	0	-1.082069046600477
SC_RS09125	False	non_coordinated	core	0	0	0	0.028506265703805
SC_RS09210	False	non_coordinated	core	5	6	1	-1.865642161634753
SC_RS09265	False	non_coordinated	core	1	1	0	-2.674697000425491
SC_RS09290	False	non_coordinated	core	2	3	1	1.826385974679796
SC_RS09315	True	concordant_derepression	core	1	2	1	3.873766306591509
SC_RS09415	False	non_coordinated	core	1	2	1	-2.693065455553428
SC_RS09420	False	non_coordinated	core	1	2	1	-1.05479477317521
SC_RS09425	False	non_coordinated	core	2	3	1	-1.8852822743135569
SC_RS09575	False	non_coordinated	core	2	1	-1	-0.1665697526983641
SC_RS09690	False	non_coordinated	core	2	2	0	1.3124556091783328
SC_RS09835	True	concordant_derepression	core	1	1	0	3.559311712441188
SC_RS09855	False	non_coordinated	core	3	3	0	-2.4728275383525715
SC_RS09895	False	non_coordinated	core	1	2	1	-0.6179024211187185
SC_RS09980	False	non_coordinated	core	1	2	1	-1.6517194609883254
SC_RS09995	False	non_coordinated	core	0	0	0	-0.6615646052706855
SC_RS10080	False	non_coordinated	core	5	7	2	-0.5599309695917009
SC_RS10090	False	non_coordinated	core	5	4	-1	-2.332742571167738
SC_RS10105	False	non_coordinated	core	3	2	-1	0.7134181602977548
SC_RS10160	False	non_coordinated	core	1	2	1	10.4971485185914
SC_RS10190	False	non_coordinated	core	0	5	5	0.7996486375081046
