gene_id	old_locus_tag	gene_name	product	regulator_name	regulator_type	known_name	is_known	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr	log2FC_3_vs_1	padj_3_vs_1	mean_rlog_1	mean_rlog_2	mean_rlog_3	delta_2_vs_1	delta_3_vs_2	delta_3_vs_1	phase_preference	abs_log2FC_3_vs_1	max_abs_corr	act_specificity	mid_mean_corr	is_SARP	SARP_subtype
SC_RS13505	SCO2295	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	0.00693836623880897	0.4442789911090019	0.6116696280931646	0.6411907930007409	0.00693836623880897	0.4442789911090019	0.6116696280931646	0.6411907930007409	0	0.42601944461042907	0.746515597932877	0.01962087294642881	4.9042960287979	5.818171609662778	5.562027877954603	0.913875580864878	-0.2561437317081747	0.6577318491567032	early_mid	0.746515597932877	0.6411907930007409	-0.6342524267619319	0.5657131374009691	FALSE	NA
SC_RS13565	SCO2307	NA	sensor histidine kinase	NA	NA	NA	FALSE	0.7968631041632326	0.7912742947965288	0.636922162042388	0.4292541636031631	0.7968631041632326	0.7912742947965288	0.636922162042388	0.4292541636031631	0	0.6635784311513282	1.3771564574380442	1.475090446936416e-7	5.422023881315539	5.891556331569327	6.769229080295688	0.4695324502537881	0.8776727487263605	1.3472051989801486	late	1.3771564574380442	0.7968631041632326	0.0055888093667038	0.6191502068140265	FALSE	NA
SC_RS13570	SCO2308	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.1963812221592432	-0.437901807601326	-0.4920991161796026	-0.4793749818753811	0.1963812221592432	0.437901807601326	0.4920991161796026	0.4793749818753811	0	0.4014392819538882	-0.23439591135001756	0.29309381284785213	6.684615568364944	6.458846020842181	6.465847133498298	-0.22576954752276368	0.00700111265611713	-0.21876843486664657	stable	0.23439591135001756	0.4920991161796026	-0.2957178940203594	0.46979196855210326	FALSE	NA
SC_RS13625	SCO2319	NA	TetR family transcriptional regulator	NA	NA	NA	FALSE	-0.47006419285629825	-0.8902416092388108	-0.9697673170498572	-0.916233765901557	0.47006419285629825	0.8902416092388108	0.9697673170498572	0.916233765901557	2	0.8115767212616308	-3.638515644971294	1.6287346885201846e-69	9.862350626636044	6.264597704763574	6.321450727061333	-3.5977529218724715	0.05685302229775946	-3.540899899574712	early_mid	3.638515644971294	0.9697673170498572	-0.49970312419355895	0.925414230730075	FALSE	NA
SC_RS13675	SCO2329	NA	GlxA family transcriptional regulator	NA	NA	NA	FALSE	-0.5002884253220826	-0.8990897514994745	-0.9350380037080472	-0.9077963885761686	0.5002884253220826	0.8990897514994745	0.9350380037080472	0.9077963885761686	2	0.8105531422764432	-0.4514581650295773	0.05345850365997846	6.677139234354223	6.149969910881757	6.201804307453574	-0.5271693234724655	0.05183439657181665	-0.4753349269006488	early_mid	0.4514581650295773	0.9350380037080472	-0.4347495783859646	0.9139747145945636	FALSE	NA
SC_RS13685	SCO2331	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	-0.6929813868164179	-0.6930002584715264	-0.5431221251065024	-0.3651046926037705	0.6929813868164179	0.6930002584715264	0.5431221251065024	0.3651046926037705	0	0.5735521157495542	-0.9691408901320198	4.455631077632707e-5	7.279081748877711	6.9074037428302075	6.327754222542661	-0.3716780060475031	-0.5796495202875462	-0.9513275263350494	late	0.9691408901320198	0.6930002584715264	-1.8871655108498864e-5	0.5337423587272664	FALSE	NA
SC_RS13825	SCO2358	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.7910028643981887	-0.3712080386690104	-0.0652463131412318	0.2000293494505216	0.7910028643981887	0.3712080386690104	0.0652463131412318	0.2000293494505216	0	0.35687164141473815	-0.5861368956282188	0.00112550531934931	7.643452387639027	7.937781646456306	7.074911215571586	0.294329258817279	-0.8628704308847199	-0.5685411720674409	late	0.5861368956282188	0.7910028643981887	0.41979482572917826	0.21216123375358795	FALSE	NA
SC_RS13830	SCO2359	NA	sensor histidine kinase	NA	NA	NA	FALSE	-0.7835203247326747	-0.4389584713609378	-0.17830659873029508	0.07741502894225656	0.7835203247326747	0.4389584713609378	0.17830659873029508	0.07741502894225656	0	0.3695501059415411	-0.6773139459439409	6.265176567795449e-4	8.026622569671762	8.184716222352252	7.369935555890632	0.15809365268049014	-0.81478066646162	-0.6566870137811298	late	0.6773139459439409	0.7835203247326747	0.34456185337173695	0.23156003301116315	FALSE	NA
SC_RS13905	SCO2374	NA	TetR family transcriptional regulator	NA	NA	NA	FALSE	-0.9276780791277468	-0.6844857255787766	-0.4146471063276589	-0.15710617294886262	0.9276780791277468	0.6844857255787766	0.4146471063276589	0.15710617294886262	1	0.5459792709957613	-1.0368606895309411	7.959992110356746e-8	7.697444220898906	7.685141391654404	6.678899392549039	-0.01230282924450243	-1.0062419991053648	-1.0185448283498673	late	1.0368606895309411	0.9276780791277468	0.24319235354897015	0.418746334951766	FALSE	NA
SC_RS13925	SCO2378	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	-0.5658420247149836	0.06352717037941236	0.4049160035132821	0.6355692563421764	0.5658420247149836	0.06352717037941236	0.4049160035132821	0.6355692563421764	0	0.4174636137374636	-0.3680801179068169	0.10242648521775292	6.117947071382761	8.134244920355082	5.755543192351425	2.0162978489723207	-2.378701728003657	-0.3624038790313362	both	0.3680801179068169	0.6355692563421764	-0.06972723162719285	0.3680041434116236	FALSE	NA
SC_RS13965	SCO2386	fasR	fatty acid biosynthesis transcriptional regulator FasR	NA	NA	NA	FALSE	-0.6676962244283453	-0.891955860242906	-0.8621806296381207	-0.7242646631994877	0.6676962244283453	0.891955860242906	0.8621806296381207	0.7242646631994877	0	0.7865243443772149	-2.008260763804589	1.0606675794215542e-40	10.20146895775946	8.87994564183448	8.244976229517656	-1.3215233159249795	-0.6349694123168241	-1.9564927282418036	early_mid	2.008260763804589	0.891955860242906	-0.22425963581456065	0.8261337176935047	FALSE	NA
SC_RS14025	SCO2398	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.13320954581786223	0.3806899113505205	0.37876408799440503	0.4168615295215701	0.13320954581786223	0.3806899113505205	0.37876408799440503	0.4168615295215701	0	0.32738126867108946	0.14437792319016762	0.609736899144391	5.56331226606549	5.733768165428628	5.696868023876626	0.17045589936313732	-0.03690014155200138	0.13355575781113593	stable	0.14437792319016762	0.4168615295215701	-0.2836519837037078	0.3921051762888319	FALSE	NA
SC_RS14235	SCO2440	NA	IclR family transcriptional regulator	NA	NA	NA	FALSE	-0.6853534540858212	-0.866609960567538	-0.8290509877632269	-0.6843739146762581	0.6853534540858212	0.866609960567538	0.8290509877632269	0.6843739146762581	0	0.7663470792732111	-1.3880668703730774	1.4016341579988378e-10	8.659415138527523	7.746747865997563	7.288664873771122	-0.9126672725299604	-0.45808299222644067	-1.370750264756401	early_mid	1.3880668703730774	0.866609960567538	-0.18125650648171687	0.7933449543356743	FALSE	NA
SC_RS14245	SCO2442	NA	FadR/GntR family transcriptional regulator	NA	NA	NA	FALSE	-0.8877814540079189	-0.8903147203542574	-0.7249958949819557	-0.5171926197005356	0.8877814540079189	0.8903147203542574	0.7249958949819557	0.5171926197005356	0	0.7550711722611669	-2.610870559579532	2.917246161323002e-37	8.9999516638207009	8.013994468540195	6.449531184604921	-0.9859571952805056	-1.5644632839352743	-2.55042047921578	late	2.610870559579532	0.8903147203542574	-0.00253326634633854	0.7108344116789164	FALSE	NA
SC_RS14295	SCO2452	NA	GAF domain-containing sensor histidine kinase	NA	NA	NA	FALSE	0.7976633287494842	0.6004781599889866	0.3836216806653991	0.1395017553544428	0.7976633287494842	0.6004781599889866	0.3836216806653991	0.1395017553544428	0	0.4803162311895782	3.00003986454776	8.155249660977061e-11	3.309974842334228	3.503027974799217	5.942196896703055	0.19305313246498867	2.439168921903838	2.632222054368827	late	3.00003986454776	0.7976633287494842	0.19718516876049763	0.3745338653362762	FALSE	NA
SC_RS14375	SCO2465	NA	RNA polymerase sigma factor	NA	NA	NA	FALSE	-0.6878616619703226	-0.9432190280072552	-0.9027185141658196	-0.7936578302959332	0.6878616619703226	0.9432190280072552	0.9027185141658196	0.7936578302959332	2	0.8318642586098326	-1.0229109840304074	2.319798016423805e-7	8.012935387453036	7.2307641226252	6.987413373907812	-0.782171264827836	-0.24335074871738716	-1.0255220135452232	early_mid	1.0229109840304074	0.9432190280072552	-0.2553573660369326	0.879865124156336	FALSE	NA
SC_RS14425	SCO2475	NA	LysR family transcriptional regulator	NA	NA	NA	FALSE	-0.6630600990963554	-0.6177049216988266	-0.5031738411131516	-0.2991027973816502	0.6630600990963554	0.6177049216988266	0.5031738411131516	0.2991027973816502	0	0.5207604148224959	-0.9734052968109216	5.424757408350594e-6	8.461453372344897	8.135821342701776	7.475144847196553	-0.32563202964312055	-0.6606764955052231	-0.9863085251483436	late	0.9734052968109216	0.6630600990963554	0.04535517739752881	0.4733271867312095	FALSE	NA
