gene_id	baseMean	LFC_T2vsT1	padj_T2vsT1	LFC_T3vsT1	padj_T3vsT1	category	exclusive_group	temporal_class
SC_RS24315	458.1270832566255	-0.972970932777285	2.7019225353614667e-09	-1.9219775029593749	2.299590139383714e-31	Stress/Defense	GCCGGC-only	T3-down (late)
SC_RS24320	209.23882287039228	-0.4893265279833895	0.0115204513587818	-1.2103703926887632	2.0861099292476623e-10	Other	GCCGGC-only	T3-down (late)
SC_RS24325	51.07080898449155	0.0996836903617955	0.767581924600333	0.0664627146202252	0.829943583127677	Hypothetical	GCCGGC-only	Constitutive
SC_RS24330	19.940228037240573	-0.6714193904031651	0.1207585035394395	0.0622005889532454	0.8786125212022932	Other	GCCGGC-only	Constitutive
SC_RS24335	84.04152601255802	-0.5371643334291469	0.043602122589429	-0.637908045599811	0.0119407877023904	Regulatory/TF	GCCGGC-only	Constitutive
SC_RS24340	86.48353536473704	-0.6804646948193132	0.0070091625717686	-0.7678254876748226	0.0015013272585352	Primary metabolism	GCCGGC-only	Constitutive
SC_RS24345	256.1300436324594	0.9177822493278074	0.0003329064612309731	0.4013535647400855	0.1144096665312503	Other	Background	Constitutive
SC_RS24350	32.62371525331858	-1.936749279844752	0.00021237203841911327	1.1033534002534906	0.0058012168777265	Other	Background	Trough at T2
SC_RS24355	1361.234711880868	-1.0824855122311854	2.67254731005352e-10	-1.5283097883515893	3.052737633233349e-19	Transport	Dual-targeted	Monotonic decreasing
SC_RS24360	2330.3641378446237	-0.9062416851249256	9.883428141809844e-06	-1.8449897203858077	1.3141916725270476e-19	Stress/Defense	Dual-targeted	T3-down (late)
SC_RS24365	1099.3078273808978	1.0236404984910552	7.172498598235649e-06	2.9365612141857085	6.076814122845389e-39	Other	Dual-targeted	Monotonic increasing
SC_RS24370	1131.2665610094546	4.18169571447547	1.7923203132407098e-91	3.1682956782574485	5.380014591868974e-53	Other	Background	Sustained up
SC_RS24375	4871.033920551359	6.1182790651262895	6.25048134294998e-160	4.508849314846114	1.920386856327536e-87	Other	GCCGGC-only	Sustained up
SC_RS24380	301.52772567030036	0.6303308482946651	0.0006134247291380707	-0.1886149114565854	0.3135886973820983	Regulatory/TF	GCCGGC-only	Constitutive
SC_RS24385	416.2037397482609	1.274005922878023	1.0350048815336469e-08	0.0818884320093025	0.7280836138230637	Primary metabolism	GCCGGC-only	T2-up (transient)
SC_RS24390	89.32953808783982	-1.562054391693883	6.075977750519394e-10	-1.0821886385947843	3.944998491887655e-06	Regulatory/TF	GCCGGC-only	Sustained down
SC_RS24395	21.845091933636596	-0.2991494823749692	0.5986342666216325	3.2523164282056616	8.436497600692522e-09	Transport	GCCGGC-only	T3-up (late)
SC_RS24400	163.90536948087825	-0.6934691186645073	0.000781536513340184	-0.8656056115440547	1.5490423916545258e-05	Primary metabolism	Background	Constitutive
SC_RS24405	88.52669907200652	-3.224341970131341	5.896725951607909e-30	-2.291852706021846	3.613549587381205e-22	Other	GCCGGC-only	Sustained down
SC_RS24410	112.40335778701264	-3.179018681569616	3.404362222793416e-32	-2.3584773247262216	8.710203412136639e-24	Primary metabolism	GCCGGC-only	Sustained down
SC_RS24415	20.983865769739868	-1.339059905599438	0.0034938488708966	0.0347377461099405	0.9317657094659249	Regulatory/TF	GCCGGC-only	T2-down (transient)
SC_RS24420	40.23892047002593	-0.1541303583663905	0.7178328497919512	1.1919014323667052	0.0015111380150326	Transport	GCCGGC-only	T3-up (late)
SC_RS24425	126.0746269606829	0.3909370745010492	0.0965070539829896	0.6848437458719406	0.0018071592425958	Regulatory/TF	GCCGGC-only	Constitutive
SC_RS24430	132.68878775473885	0.27814943765169	0.2519470254075041	0.1827677968733367	0.4305830462950029	Other	GCCGGC-only	Constitutive
