gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS37320,SCO7019,-1.2975628168242817,0.00017609879347647788,56.26666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS37340,SCO7023,1.746206849380051,1.0945938533782969e-07,62.693333333333335,T2_vs_T1,6mA,,,,,,,,,
SC_RS38930,SCO7343,2.449676921591219,3.5264823979958354e-23,58.95,T2_vs_T1,6mA,,,,,,,,,
SC_RS39290,SCO7417,-1.851155194447371,1.336086703346305e-13,70.90666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS39310,SCO7421,-2.5884330482997893,4.880397518739474e-09,60.89166666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS39380,SCO7435,1.8452129854828092,0.00015646103386865142,57.51666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS39425,SCO7444,1.2449432683742594,3.2960142450199436e-06,56.19333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS39965,SCO7553,-1.1668681983333506,0.0009492193835854848,-58.99666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS40240,SCO7609,2.352428306586891,1.9659762234489795e-10,69.04666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS40670,SCO7697,8.13477902499402,1.1965985255109142e-203,-56.99666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS40755,SCO7714,2.4398187216422516,4.9175398513907796e-18,64.34666666666668,T2_vs_T1,6mA,,,,,,,,,
SC_RS02090,SCO0005,9.67996973039465,6.467811215071488e-13,,T2_vs_T1,4mC,90.79333333333334,,,,,,,,
SC_RS02455,SCO0089,1.9589972494364425,2.5249380577013426e-17,,T2_vs_T1,4mC,78.55999999999999,,,,,,,,
SC_RS02875,SCO0185,-1.1242277374199583,1.06510786581979e-05,,T2_vs_T1,4mC,83.71,,,,,,,,
SC_RS03785,SCO0375,1.973288915859258,4.6966459956759076e-12,,T2_vs_T1,4mC,67.09666666666668,,,,,,,,
SC_RS04100,SCO0438,-1.1664371284030977,0.0010063165715781,,T2_vs_T1,4mC,-93.33333333333331,,,,,,,,
SC_RS04250,SCO0467,1.4702935964034105,3.501340586809286e-05,,T2_vs_T1,4mC,61.69,,,,,,,,
SC_RS04370,SCO0490,4.568160801632451,4.749468740529724e-87,,T2_vs_T1,4mC,81.34000000000002,,,,,,,,
SC_RS04840,SCO0583,2.863822258116949,6.73010202104824e-42,,T2_vs_T1,4mC,80.08333333333333,,,,,,,,
SC_RS04900,SCO0595,1.4440396818614334,0.0103375678422322,,T2_vs_T1,4mC,95.24,,,,,,,,
SC_RS04960,SCO0607,2.63012975117408,8.52842599836044e-20,,T2_vs_T1,4mC,11.629999999999995,,,,,,,,
SC_RS05430,SCO0701,2.0582947025373217,7.358220758126989e-19,,T2_vs_T1,4mC,97.91666666666669,,,,,,,,
SC_RS05515,SCO0718,1.7895244572933366,0.0089805103244591,,T2_vs_T1,4mC,71.60666666666667,,,,,,,,
SC_RS06230,SCO0860,3.1727312822680704,1.45020125237929e-38,,T2_vs_T1,4mC,63.82333333333333,,,,,,,,
SC_RS06245,SCO0863,3.990549747083726,3.6567861703059943e-47,,T2_vs_T1,4mC,94.12,,,,,,,,
SC_RS06690,SCO0948,1.6153879605108028,1.971098882147859e-09,,T2_vs_T1,4mC,90.47333333333331,,,,,,,,
SC_RS07105,SCO1030,4.059598273472468,5.205386359220276e-26,,T2_vs_T1,4mC,-85.77,,,,,,,,
SC_RS07565,SCO1123,-1.1299103154999814,8.216284811568125e-09,,T2_vs_T1,4mC,76.75,,,,,,,,
SC_RS08205,SCO1249,1.5207697137727705,4.843144026066417e-07,,T2_vs_T1,4mC,58.09666666666667,,,,,,,,
