gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS08615,SCO1330,2.4694336613555485,2.6349114512980236e-06,,T2_vs_T1,4mC,84.52333333333333,,,,,,,,
SC_RS08620,SCO1331,2.42716860395486,1.0131761059368294e-45,,T2_vs_T1,4mC,84.52333333333333,,,,,,,,
SC_RS09425,SCO1490,-1.8852822743135569,2.270173504188972e-15,,T2_vs_T1,4mC,70.79666666666667,,,,,,,,
SC_RS10090,SCO1616,-2.332742571167738,4.543101324244039e-40,,T2_vs_T1,4mC,-92.96333333333332,,,,,,,,
SC_RS10560,SCO1709,-1.7588987551124249,5.2893025422697196e-11,,T2_vs_T1,4mC,-83.54666666666667,,,,,,,,
SC_RS10980,SCOr06,1.1303657453271674,9.163005585109196e-05,,T2_vs_T1,4mC,-76.94666666666667,,,,,,,,
SC_RS11095,SCO1814,-2.0324748481478294,2.464555191349768e-17,,T2_vs_T1,4mC,-90.95333333333332,,,,,,,,
SC_RS12015,SCO1997,2.6842701585621267,1.406854323742891e-26,,T2_vs_T1,4mC,77.13666666666667,,,,,,,,
SC_RS12315,SCO2055,2.271983567911509,9.831043336450512e-11,,T2_vs_T1,4mC,85.55666666666667,,,,,,,,
SC_RS12380,SCO2068,4.439197154396042,3.902837576067351e-95,,T2_vs_T1,4mC,-12.709999999999994,,,,,,,,
SC_RS12500,SCO2092,-2.581552436907095,4.695309529256716e-30,,T2_vs_T1,4mC,87.91666666666667,,,,,,,,
SC_RS12890,SCO2170,-1.9305582101953973,7.976823976817156e-34,,T2_vs_T1,4mC,-95.14,,,,,,,,
SC_RS13090,SCO2211,-2.543462111522708,7.68685505395119e-48,,T2_vs_T1,4mC,-79.61666666666667,,,,,,,,
SC_RS13295,SCO2254,-1.4082784939763942,2.263111160083818e-13,,T2_vs_T1,4mC,56.419999999999995,,,,,,,,
SC_RS13305,SCO2256,-1.835310133956218,6.74763057617099e-18,,T2_vs_T1,4mC,-11.053333333333327,,,,,,,,
SC_RS13455,SCO2286,8.702454701908712,9.10048449239198e-219,,T2_vs_T1,4mC,71.09333333333332,,,,,,,,
SC_RS13900,SCO2373,3.042342250528045,9.598404271441403e-38,,T2_vs_T1,4mC,-61.88666666666666,,,,,,,,
SC_RS13965,SCO2386,-1.3457214719384083,5.209355572407984e-19,,T2_vs_T1,4mC,64.26833333333333,,,,,,,,
SC_RS14015,SCO2396,-1.1511860426826954,7.538041462956722e-07,,T2_vs_T1,4mC,-56.57666666666666,,,,,,,,
SC_RS14635,SCO2517,3.933775298413101,2.0139637077651676e-45,,T2_vs_T1,4mC,79.74666666666667,,,,,,,,
SC_RS14780,SCO2546,-2.931012790723529,8.406451032266009e-46,,T2_vs_T1,4mC,86.96999999999998,,,,,,,,
SC_RS15445,SCO2673,-1.372872132306013,7.668282266797999e-14,,T2_vs_T1,4mC,-94.94,,,,,,,,
SC_RS15665,SCO2716,2.803222768992344,4.8657436485641023e-08,,T2_vs_T1,4mC,-71.56333333333333,,,,,,,,
SC_RS16315,SCO2842,-1.1079007734204784,1.0503231028759633e-05,,T2_vs_T1,4mC,19.08,,,,,,,,
SC_RS16440,SCO2868,1.2161977740074792,2.422790498558648e-07,,T2_vs_T1,4mC,10.023333333333326,,,,,,,,
SC_RS16920,SCO2964,-2.146393632076846,1.594777898086238e-07,,T2_vs_T1,4mC,12.460000000000008,,,,,,,,
