pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj	comparison	direction
sco02010	ABC transporters - Streptomyces coelicolor	91	193	0.046547314578005115	1.9229105654426673	4.083113928120215e-12	3.266491142496172e-10	T3vsT2	Up
sco02024	Quorum sensing - Streptomyces coelicolor	50	101	0.02557544757033248	2.0189410245372366	4.161191210186111e-8	1.6644764840744446e-6	T3vsT2	Up
sco01057	Biosynthesis of type II polyketide products - Streptomyces coelicolor	9	11	0.004603580562659846	3.336758893280632	1.0584240625976085e-4	0.002822464166926956	T3vsT2	Up
sco01056	Biosynthesis of type II polyketide backbone - Streptomyces coelicolor	6	6	0.003069053708439898	4.078260869565217	2.1608863274631478e-4	0.004321772654926295	T3vsT2	Up
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	14	26	0.007161125319693095	2.1959866220735784	0.0012255821785458554	0.019609314856733687	T3vsT2	Up
sco00946	Degradation of flavonoids - Streptomyces coelicolor	7	10	0.0035805626598465474	2.8547826086956523	0.0030914369009508473	0.041219158679344635	T3vsT2	Up
sco00253	Tetracycline biosynthesis - Streptomyces coelicolor	6	8	0.003069053708439898	3.058695652173913	0.0037845413437939666	0.04325190107193105	T3vsT2	Up
sco00999	Biosynthesis of various plant secondary metabolites - Streptomyces coelicolor	6	9	0.003069053708439898	2.718840579710145	0.00899935833274299	0.0899935833274299	T3vsT2	Up
sco01100	Metabolic pathways - Streptomyces coelicolor	344	1066	0.23513328776486672	1.7586470012657434	1.561929176329803e-32	1.4213555504601207e-30	T3vsT2	Down
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	179	515	0.12235133287764867	1.894188693268918	2.953480571158323e-20	1.343833659877037e-18	T3vsT2	Down
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor	72	164	0.04921394395078606	2.392577897070837	2.1590735904015103e-14	6.549189890884581e-13	T3vsT2	Down
sco01230	Biosynthesis of amino acids - Streptomyces coelicolor	66	148	0.045112781954887216	2.430298719772404	1.082652222535898e-13	2.463033806269168e-12	T3vsT2	Down
sco01120	Microbial metabolism in diverse environments - Streptomyces coelicolor	120	356	0.08202323991797676	1.836998010859631	9.735037677433515e-13	1.7717768572928995e-11	T3vsT2	Down
sco01200	Carbon metabolism - Streptomyces coelicolor	62	148	0.04237867395762133	2.2830078882710465	1.705357881374799e-11	2.586459453418445e-10	T3vsT2	Down
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor	27	44	0.01845522898154477	3.3441713788603735	2.86460574069677e-10	3.7239874629058006e-9	T3vsT2	Down
sco00860	Porphyrin metabolism - Streptomyces coelicolor	25	42	0.017088174982911826	3.2439052175894285	3.273264269870862e-9	3.7233381069781055e-8	T3vsT2	Down
sco00270	Cysteine and methionine metabolism - Streptomyces coelicolor	22	37	0.015037593984962405	3.2403982930298723	3.0031732739956635e-8	3.0365418659289483e-7	T3vsT2	Down
sco00230	Purine metabolism - Streptomyces coelicolor	33	71	0.022556390977443608	2.5329873980726463	4.7649237137845716e-8	4.33608057954396e-7	T3vsT2	Down
sco00670	One carbon pool by folate - Streptomyces coelicolor	15	23	0.010252904989747095	3.5541918036197213	9.359684134545472e-7	7.74301142039671e-6	T3vsT2	Down
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	18	33	0.012303485987696514	2.9725967812092216	3.150705503577831e-6	2.389285006879855e-5	T3vsT2	Down
sco01210	2-Oxocarboxylic acid metabolism - Streptomyces coelicolor	24	52	0.016404647983595352	2.515274199484726	3.778056936055053e-6	2.644639855238537e-5	T3vsT2	Down
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	17	95	0.01161995898838004	0.9752203475195165	5.391782722353727e-6	3.504658769529923e-5	T3vsT2	Down
sco01232	Nucleotide metabolism - Streptomyces coelicolor	22	49	0.015037593984962405	2.446831364124597	1.65284069482403e-5	1.0027233548599114e-4	T3vsT2	Down
sco00290	Valine, leucine and isoleucine biosynthesis - Streptomyces coelicolor	11	17	0.007518796992481203	3.526315789473684	3.192655702521508e-5	1.815822930809108e-4	T3vsT2	Down
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor	24	58	0.016404647983595352	2.255073420227685	3.660510329639408e-5	1.9594496470422713e-4	T3vsT2	Down
sco00785	Lipoic acid metabolism - Streptomyces coelicolor	12	20	0.008202323991797676	3.2698564593301436	4.0784267895593974e-5	2.061871321388362e-4	T3vsT2	Down
sco00450	Selenocompound metabolism - Streptomyces coelicolor	10	15	0.00683526999316473	3.6331738437001593	5.1328615689210614e-5	2.458370540904298e-4	T3vsT2	Down
sco00680	Methane metabolism - Streptomyces coelicolor	15	31	0.010252904989747095	2.6369810155888254	1.3043797359859978e-4	5.881759060607053e-4	T3vsT2	Down
sco00920	Sulfur metabolism - Streptomyces coelicolor	11	19	0.007518796992481203	3.155124653739612	1.3573290139862432e-4	5.881759060607053e-4	T3vsT2	Down
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor	13	25	0.00888585099111415	2.833875598086125	1.4600163622536285e-4	6.039158589321828e-4	T3vsT2	Down
sco00720	Other carbon fixation pathways - Streptomyces coelicolor	18	42	0.012303485987696514	2.3356117566643886	2.0043191205163468e-4	7.930132172477719e-4	T3vsT2	Down
sco00300	Lysine biosynthesis - Streptomyces coelicolor	11	20	0.007518796992481203	2.9973684210526312	2.51781231235661e-4	9.164836816978061e-4	T3vsT2	Down
sco00480	Glutathione metabolism - Streptomyces coelicolor	11	20	0.007518796992481203	2.9973684210526312	2.51781231235661e-4	9.164836816978061e-4	T3vsT2	Down
