locus_tag	category	upstream_density	downstream_density
SC_RS14735	Shielded	0.0	0.0
SC_RS14770	Shielded	0.0	0.0
SC_RS14825	Shielded	0.0	0.0
SC_RS14890	Shielded	0.0	0.0
SC_RS15140	Shielded	0.0	3.4129692832764507
SC_RS15295	Shielded	0.0	0.0
SC_RS15310	Shielded	0.0	0.0
SC_RS15335	Shielded	0.0	0.0
SC_RS15360	Shielded	0.0	0.0
SC_RS15495	Shielded	0.0	0.0
SC_RS15515	Shielded	0.0	0.0
SC_RS15725	Shielded	0.0	0.0
SC_RS15755	Shielded	0.0	0.0
SC_RS15795	Shielded	0.0	0.0
SC_RS15810	Shielded	0.0	0.0
SC_RS15850	Shielded	0.0	0.0
SC_RS15870	Shielded	0.0	0.0
SC_RS15920	Shielded	0.0	0.0
SC_RS15960	Shielded	0.0	0.0
SC_RS16045	Shielded	0.0	0.0
SC_RS16060	Shielded	2.0	3.4129692832764507
SC_RS16090	Shielded	2.0	0.0
SC_RS16095	Shielded	0.0	0.0
SC_RS16145	Shielded	0.0	0.0
SC_RS16165	Shielded	0.0	0.0
SC_RS16255	Shielded	0.0	0.0
SC_RS16305	Shielded	0.0	0.0
SC_RS16325	Shielded	0.0	0.0
SC_RS16330	Shielded	0.0	0.0
SC_RS16365	Shielded	2.0	0.0
SC_RS16395	Shielded	0.0	0.0
SC_RS16420	Shielded	0.0	3.4129692832764507
SC_RS16445	Shielded	0.0	0.0
SC_RS16475	Shielded	4.0	0.0
SC_RS16720	Shielded	0.0	0.0
SC_RS16730	Shielded	0.0	0.0
SC_RS16740	Shielded	0.0	0.0
SC_RS16775	Shielded	0.0	0.0
SC_RS16870	Shielded	0.0	0.0
SC_RS16875	Shielded	0.0	0.0
SC_RS16920	Shielded	2.0	0.0
SC_RS17040	Shielded	0.0	0.0
SC_RS17075	Shielded	0.0	0.0
SC_RS17135	Shielded	0.0	0.0
SC_RS17140	Shielded	0.0	0.0
SC_RS17160	Shielded	0.0	0.0
SC_RS17165	Shielded	0.0	0.0
SC_RS17285	Shielded	0.0	0.0
SC_RS17425	Shielded	0.0	0.0
SC_RS17430	Shielded	0.0	0.0
SC_RS17455	Shielded	0.0	0.0
SC_RS17490	Shielded	0.0	0.0
SC_RS17725	Shielded	0.0	0.0
SC_RS17770	Shielded	0.0	0.0
SC_RS17790	Shielded	0.0	0.0
SC_RS17830	Shielded	0.0	0.0
SC_RS17900	Shielded	0.0	0.0
SC_RS17945	Shielded	0.0	0.0
SC_RS17975	Shielded	0.0	3.4129692832764507
SC_RS18030	Shielded	2.0	0.0
SC_RS18105	Shielded	0.0	0.0
SC_RS18115	Shielded	0.0	0.0
SC_RS18120	Shielded	0.0	0.0
SC_RS18125	Shielded	0.0	0.0
SC_RS18140	Shielded	0.0	0.0
SC_RS18150	Shielded	0.0	0.0
SC_RS18160	Shielded	0.0	0.0
SC_RS18200	Shielded	0.0	0.0
SC_RS18240	Shielded	0.0	0.0
SC_RS18245	Shielded	0.0	0.0
SC_RS18410	Shielded	0.0	0.0
SC_RS18415	Shielded	0.0	0.0
SC_RS18440	Shielded	0.0	0.0
SC_RS18455	Shielded	0.0	0.0
SC_RS18470	Shielded	0.0	3.4129692832764507
SC_RS18490	Shielded	2.0	0.0
SC_RS18650	Shielded	0.0	0.0
SC_RS18680	Shielded	2.0	0.0
SC_RS18705	Shielded	2.0	0.0
SC_RS18720	Shielded	0.0	0.0
SC_RS18745	Shielded	0.0	0.0
SC_RS18795	Shielded	2.0	0.0
SC_RS18850	Shielded	0.0	0.0
SC_RS18895	Shielded	0.0	0.0
SC_RS18905	Shielded	0.0	0.0
SC_RS18910	Shielded	0.0	0.0
SC_RS18920	Shielded	0.0	0.0
SC_RS18945	Shielded	2.0	0.0
SC_RS18960	Shielded	2.0	0.0
SC_RS19010	Shielded	0.0	0.0
SC_RS19070	Shielded	0.0	0.0
SC_RS19075	Shielded	0.0	0.0
SC_RS19190	Shielded	0.0	3.4129692832764507
SC_RS19195	Shielded	0.0	0.0
SC_RS19220	Shielded	0.0	0.0
SC_RS19230	Shielded	0.0	0.0
SC_RS19300	Shielded	0.0	0.0
SC_RS19360	Shielded	0.0	0.0
SC_RS19370	Shielded	0.0	0.0
SC_RS19375	Shielded	0.0	0.0
SC_RS19380	Shielded	0.0	0.0
SC_RS19550	Shielded	0.0	0.0
SC_RS19650	Shielded	0.0	0.0
SC_RS19730	Shielded	0.0	0.0
SC_RS19815	Shielded	0.0	0.0
SC_RS19880	Shielded	0.0	0.0
SC_RS19990	Shielded	2.0	0.0
SC_RS20030	Shielded	2.0	0.0
SC_RS20070	Shielded	0.0	0.0
SC_RS20085	Shielded	0.0	0.0
SC_RS20135	Shielded	2.0	0.0
SC_RS20140	Shielded	0.0	0.0
SC_RS20165	Shielded	0.0	0.0
SC_RS20200	Shielded	0.0	0.0
SC_RS20215	Shielded	0.0	0.0
SC_RS20250	Shielded	0.0	3.4129692832764507
SC_RS20265	Shielded	0.0	0.0
SC_RS20295	Shielded	0.0	0.0
SC_RS20330	Shielded	0.0	0.0
SC_RS20335	Shielded	0.0	0.0
SC_RS20340	Shielded	0.0	0.0
SC_RS20345	Shielded	2.0	0.0
SC_RS20405	Shielded	0.0	0.0
SC_RS20410	Shielded	0.0	0.0
SC_RS20455	Shielded	0.0	0.0
SC_RS20460	Shielded	0.0	0.0
SC_RS20465	Shielded	0.0	0.0
SC_RS20475	Shielded	0.0	0.0
SC_RS20605	Shielded	0.0	0.0
SC_RS20615	Shielded	0.0	0.0
SC_RS20630	Shielded	2.0	3.4129692832764507
SC_RS20680	Shielded	0.0	0.0
SC_RS20710	Shielded	0.0	0.0
SC_RS20740	Shielded	0.0	0.0
SC_RS20775	Shielded	0.0	0.0
SC_RS20810	Shielded	0.0	0.0
SC_RS20830	Shielded	0.0	0.0
SC_RS20835	Shielded	0.0	0.0
SC_RS20875	Shielded	0.0	0.0
SC_RS20905	Shielded	0.0	0.0
SC_RS20910	Shielded	0.0	0.0
SC_RS20965	Shielded	0.0	0.0
