locus_tag	old_locus_tag	gene_name	product	tf_family	module	bloc	coordination_T2	coordination_T3	LFC_T2vsT1	LFC_T3vsT1	LFC_T3vsT2	padj_T2vsT1	padj_T3vsT1	padj_T3vsT2	early_magnitude	late_magnitude	phase_ratio	temporal_class	direction	temporal_direction	earliness_score	trajectory_cluster	T1_mean	T2_mean	T3_mean	T1_z	T2_z	T3_z
SC_RS36220			helix-turn-helix transcriptional regulator	HTH (other)	2.0	activation	discordant_gain_up	discordant_gain_up	2.168987976181465	2.737953669278411	0.4520424133429327	0.0001427567692109228	9.221715096261128e-07	0.2847492708716852	2.168987976181465	0.4520424133429327	0.7921930895028998	early	up	early_up	0.8275325554284352	4	4.02374691651165	21.676925987835144	30.9175783616878	-1.330916780581962	0.2513383685895308	1.079578411992431
SC_RS36820	SCO6924		helix-turn-helix domain-containing protein	HTH (other)	3.0	activation	concordant_repression	ambiguous	-2.5425777989933764	1.1724818092504623	3.901958639109664	7.40547348508819e-05	0.0026139079143853	2.719390784549007e-09	2.5425777989933764	3.901958639109664	-2.168543493752608	late	up	late_up	0.39453230241992937	4	20.872697278699288	2.934884828407481	50.405018329619786	-0.19747426092807632	-1.114008901153127	1.3114831620812037
SC_RS37035			WhiB family transcriptional regulator	WhiB	2.0	activation	concordant_derepression	ambiguous	1.2351768680285735	1.7474209061331545	0.3955412801463431	0.023562700652312	0.0010193313300751	0.3856203814716791	1.2351768680285735	0.3955412801463431	0.7068570964747587	early	up	early_up	0.7574435038545605	4	4.739278631556791	12.863699015068526	17.79382101397336	-1.3116149683774425	0.19782317108817385	1.1137917972892688
SC_RS37675	SCO7089		sensor histidine kinase	Sensor kinase	2.0	activation	methyl_change_no_expr_change	discordant_gain_up	0.5692475959080903	2.938021809245114	2.242975511519141	0.220371723922328	3.1409947268072395e-11	1.1423066406963477e-07	0.5692475959080903	2.242975511519141	0.1937519980678261	late	up	late_up	0.2024190735025379	4	8.043476636772478	12.93657935935128	65.30825630146688	-0.7993969712420778	-0.6106100621883641	1.4100070334304418
SC_RS38475	SCO7252		DNA-binding protein NsdB	Other regulatory	1.0	activation	discordant_gain_up	ambiguous	9.317497513720548	7.76413546802748	-1.5056183989913725	3.5040142420988754e-226	1.7204571545473354e-157	1.57470250268588e-09	9.317497513720548	1.5056183989913725	1.2000689004062042	early	up	early_up	0.8608886376880536	3	31.630485566552423	20292.972036728494	6940.914077661096	-1.0769302974769728	1.3322950113552308	-0.2553647138782579
SC_RS38610	SCO7279		helix-turn-helix domain-containing protein	HTH (other)	1.0	activation	discordant_gain_up	ambiguous	1.5122439263738874	1.437287270168461	-0.0687878875552127	2.7868803275573235e-09	9.332484510371041e-09	0.790175359107488	1.5122439263738874	0.0687878875552127	1.0521514785256818	early	up	early_up	0.9564917751528899	3	94.83310208174	278.6338440141126	266.03100279034476	-1.4115475608977033	0.7809410106280178	0.6306065502696863
SC_RS38785	SCO7314		SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	1.0	activation	ambiguous	discordant_gain_up	1.9292968279677385	1.4941315998411235	-0.4089955051803432	4.0457431010406377e-11	1.7896686511187993e-07	0.1183141952926358	1.9292968279677385	0.4089955051803432	1.2912495982100156	early	up	early_up	0.8250879500972342	3	27.9378306899596	109.84160823146898	81.02670370498171	-1.3264597015214392	1.0879397460772062	0.23851995544423243
SC_RS39260	SCO7411		LacI family DNA-binding transcriptional regulator	LacI	2.0	activation	methyl_change_no_expr_change	discordant_gain_up	0.6752788836681285	1.1268958401806786	0.4252087357924647	0.0417953703301207	0.0002811313017637984	0.1709760145469969	0.6752788836681285	0.4252087357924647	0.5992380658356667	gradual	up	gradual_up	0.6136178832595648	4	30.218460280842322	49.74617237199399	68.02194891979742	-1.2380385235006812	0.027034920110978095	1.2110036033897036
SC_RS39850	SCO7530		MerR family transcriptional regulator	MerR	2.0	activation	methyl_change_no_expr_change	discordant_gain_up	0.804545404597441	1.6906408230956813	0.8246437905810884	0.023562700652312	5.543770538283395e-07	0.0112145065986269	0.804545404597441	0.8246437905810884	0.4758819221721277	gradual	up	gradual_up	0.4938317826616167	4	24.701366173957343	45.14052734649635	82.82966563717025	-1.0877445143909585	-0.23882110776891385	1.3265656221598716
SC_RS40040	SCO7568		ROK family protein	ROK	3.0	activation	concordant_repression	methyl_change_no_expr_change	-1.2552343502126442	0.1545523986304376	1.4190040683262652	2.703495194456091e-06	0.5136394671008345	9.074130748775698e-08	1.2552343502126442	1.4190040683262652		non-responder	up	non-responder_up	0.4693801201358528	4	89.67095279396098	36.2196454773262	100.67110999004971	0.5026696536609434	-1.3961022331040298	0.8934325794430871
