GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0004519	1	20	438	7374	0.8417808219178081	0.8330723834758521	0.7066331122005232	SC_RS16745	0.8011509170171536
GO:0016829	1	21	438	7374	0.8016960208741031	0.7913043478260869	0.7241058748951346	SC_RS26810	0.8157648464008479
GO:0006352	2	43	438	7374	0.7830519273654029	0.7714253748042068	0.733915935156625	SC_RS06415,SC_RS09835	0.821616581496096
GO:0070967	1	22	438	7374	0.7652552926525529	0.7535142203334423	0.7405402046647429	SC_RS34670	0.8238509776895265
GO:0043190	2	44	438	7374	0.7652552926525529	0.752948885976409	0.7455270420412247	SC_RS04280,SC_RS35415	0.8242472887163851
GO:0000160	4	85	438	7374	0.7922643029814664	0.7799965864481994	0.7519862798959654	SC_RS14635,SC_RS20835,SC_RS20905,SC_RS33060	0.8262565297622336
GO:0000156	1	24	438	7374	0.7014840182648402	0.687792259476669	0.7705362524336349	SC_RS20835	0.8414444965226197
GO:0005737	2	50	438	7374	0.6734246575342465	0.658256880733945	0.8064082894812823	SC_RS09905,SC_RS11715	0.8729202435235396
GO:0008236	1	27	438	7374	0.6235413495687468	0.6081675761309628	0.8091676414684497	SC_RS38155	0.8729202435235396
GO:0004803	1	28	438	7374	0.6012720156555773	0.5855580981439105	0.820544335770453	SC_RS19465	0.8798607937779557
GO:0009252	1	29	438	7374	0.5805384978743505	0.564563582870219	0.8312442514977252	SC_RS07045	0.8859968668658389
GO:0003824	5	118	438	7374	0.7133735778964476	0.6972347687465511	0.838286289920257	SC_RS04875,SC_RS09585,SC_RS25545,SC_RS35120,SC_RS35125	0.8861109236061019
GO:0016791	1	30	438	7374	0.561187214611872	0.5450169652016097	0.8413075623001753	SC_RS38820	0.8861109236061019
GO:0071555	1	31	438	7374	0.5430844012372956	0.5267734553775744	0.850772062261031	SC_RS07045	0.8908083946027265
GO:0003723	1	36	438	7374	0.4676560121765601	0.45119320039228505	0.890285664121563	SC_RS15040	0.9267301065125041
GO:0016787	9	215	438	7374	0.7047467346288626	0.6853825785864621	0.8998540776509747	SC_RS05055,SC_RS05530,SC_RS14630,SC_RS19835,SC_RS24485,SC_RS24875,SC_RS33770,SC_RS34415,SC_RS37880	0.92965443247292
GO:0005524	26	544	438	7374	0.8046434327155519	0.7818907673276605	0.9035405439203099	SC_RS02625,SC_RS04865,SC_RS05395,SC_RS05540,SC_RS06915,SC_RS07690,SC_RS09560,SC_RS11820,SC_RS14640,SC_RS17845,SC_RS17850,SC_RS19845,SC_RS20830,SC_RS20900,SC_RS20910,SC_RS21510,SC_RS21515,SC_RS24875,SC_RS27815,SC_RS33065,SC_RS35120,SC_RS36405,SC_RS37265,SC_RS37270,SC_RS38415,SC_RS40635	0.92965443247292
GO:0030170	1	49	438	7374	0.34358400894604413	0.32837528604118993	0.9507395949717022	SC_RS09900	0.97259567761473
GO:0016887	6	181	438	7374	0.5580867327631878	0.5365873015873016	0.9625627871917429	SC_RS07690,SC_RS11820,SC_RS17845,SC_RS20900,SC_RS37265,SC_RS40635	0.9790638635436014
GO:0005515	1	60	438	7374	0.280593607305936	0.26672613737734163	0.9750116615629508	SC_RS38415	0.9860913395352571
GO:0006508	2	106	438	7374	0.3176531403463427	0.3013408609738885	0.988727079737059	SC_RS08725,SC_RS38155	0.9943131084361384
GO:0008270	1	85	438	7374	0.1980660757453666	0.18666230794377248	0.9946774121562526	SC_RS04280	0.9946774121562526
