bin	start	PC_M	FIRE_M	PC_L	FIRE_L	center	core	m_n_T1	m_fq_T1	m_n_T2	m_fq_T2	methyl_bin
16	80000.0	-0.471475155935995	0.291590909090909	-0.201726571	0.491945454545455	82500.0	0	0.0	0.0	1.0	70.4	0
17	85000.0	-0.247622146602413	0.299627272727273	0.103172235	0.510054545454546	87500.0	0	1.0	98.04	1.0	96.76	1
18	90000.0	-0.192483746424686	0.302509090909091	0.237420138	0.537972727272727	92500.0	0	0.0	0.0	0.0	0.0	0
19	95000.0	-0.180084803310727	0.302890909090909	0.232037395	0.537227272727273	97500.0	0	0.0	0.0	0.0	0.0	0
20	100000.0	-0.0928507708148218	0.312136363636364	0.457727928	0.556136363636364	102500.0	0	0.0	0.0	1.0	57.06	0
21	105000.0	-0.0874359480956859	0.309472727272727	0.342072837	0.562063636363636	107500.0	0	1.0	89.56	6.0	517.12	1
22	110000.0	-0.213326644766808	0.311836363636364	0.299195808	0.573154545454545	112500.0	0	0.0	0.0	0.0	0.0	0
23	115000.0	-0.275877550034585	0.318018181818182	0.329787074	0.580336363636364	117500.0	0	0.0	0.0	0.0	0.0	0
24	120000.0	-0.344387653948662	0.323672727272727	0.05262347	0.591736363636364	122500.0	0	0.0	0.0	0.0	0.0	0
25	125000.0	-0.0793678294546948	0.332072727272727	-0.018467953	0.607581818181818	127500.0	0	0.0	0.0	2.0	165.8	0
26	130000.0	0.232019243606362	0.346436363636364	-0.434658159	0.621563636363636	132500.0	0	1.0	94.66	1.0	92.97	1
27	135000.0	0.267659061218617	0.354209090909091	-0.57349209	0.621936363636364	137500.0	0	1.0	91.11	2.0	145.39	1
28	140000.0	0.298100507323978	0.356018181818182	-0.651740356	0.617372727272727	142500.0	0	1.0	76.59	1.0	82.84	1
29	145000.0	0.287778317653048	0.356281818181818	-0.451173098	0.612645454545454	147500.0	0	1.0	92.21	1.0	84.99	1
30	150000.0	0.239061616121211	0.360827272727273	-0.749385013	0.617427272727273	152500.0	0	0.0	0.0	1.0	79.02	0
31	155000.0	0.42786576493727	0.3608	-0.188050031	0.627218181818182	157500.0	0	0.0	0.0	0.0	0.0	0
32	160000.0	0.446716192572421	0.367463636363636	-0.090506105	0.636681818181818	162500.0	0	0.0	0.0	0.0	0.0	0
33	165000.0	0.624056771410054	0.378681818181818	-0.066362152	0.653490909090909	167500.0	0	0.0	0.0	0.0	0.0	0
34	170000.0	0.461503105443515	0.376418181818182	-0.060970766	0.656345454545454	172500.0	0	0.0	0.0	1.0	83.71	0
35	175000.0	0.485304945027528	0.375254545454545	-0.20894573	0.6672	177500.0	0	2.0	170.9	2.0	181.03	1
36	180000.0	0.579562187664082	0.379490909090909	-0.105804837	0.670381818181818	182500.0	0	0.0	0.0	0.0	0.0	0
37	185000.0	0.79208988611619	0.390981818181818	0.073946876	0.6824	187500.0	0	0.0	0.0	0.0	0.0	0
38	190000.0	0.796820851142585	0.392963636363636	0.017412534	0.693254545454545	192500.0	0	0.0	0.0	0.0	0.0	0
39	195000.0	0.785387266972187	0.395790909090909	0.283890352	0.703790909090909	197500.0	0	0.0	0.0	0.0	0.0	0
40	200000.0	0.766237961701038	0.3965	0.388887819	0.6989	202500.0	0	1.0	96.97	1.0	91.95	1
41	205000.0	0.729535428993023	0.399418181818182	0.44655775	0.705345454545454	207500.0	0	0.0	0.0	0.0	0.0	0
42	210000.0	0.637920312359663	0.400709090909091	0.249286998	0.701881818181818	212500.0	0	0.0	0.0	2.0	157.98	0
43	215000.0	0.609185757358663	0.406345454545455	0.234928368	0.708309090909091	217500.0	0	0.0	0.0	0.0	0.0	0
44	220000.0	0.468615579211148	0.410790909090909	0.073035706	0.708590909090909	222500.0	0	0.0	0.0	0.0	0.0	0
45	225000.0	0.59894678827104	0.411109090909091	0.092111188	0.715790909090909	227500.0	0	0.0	0.0	1.0	61.94	0
46	230000.0	0.577038937887723	0.415663636363636	0.111563262	0.714145454545454	232500.0	0	0.0	0.0	2.0	161.34	0
47	235000.0	0.580312087871377	0.407281818181818	-0.054986035	0.716372727272727	237500.0	0	0.0	0.0	0.0	0.0	0
48	240000.0	-0.0330416644768699	0.390954545454545	-0.056301657	0.716563636363636	242500.0	0	2.0	186.28	2.0	193.32999999999998	1
49	245000.0	-0.0434674879939796	0.389954545454545	-0.062592738	0.719218181818182	247500.0	0	0.0	0.0	0.0	0.0	0
50	250000.0	0.109071714532568	0.395554545454545	-0.077415342	0.724218181818182	252500.0	0	1.0	78.89	1.0	86.76	1
51	255000.0	0.266916139557146	0.402290909090909	-0.066419553	0.733981818181818	257500.0	0	0.0	0.0	0.0	0.0	0
52	260000.0	0.271521927689642	0.403027272727273	0.142576773	0.7376	262500.0	0	0.0	0.0	1.0	79.49	0
53	265000.0	0.269458652005825	0.402954545454545	0.170654903	0.729536363636364	267500.0	0	0.0	0.0	0.0	0.0	0
54	270000.0	0.158445577467599	0.401218181818182	0.138014635	0.720563636363636	272500.0	0	0.0	0.0	1.0	72.28	0
55	275000.0	0.221058210360271	0.386963636363636	-0.075106318	0.703445454545454	277500.0	0	0.0	0.0	1.0	100.0	0
56	280000.0	0.325599170256382	0.390372727272727	0.041619304	0.694436363636363	282500.0	0	0.0	0.0	0.0	0.0	0
57	285000.0	0.232788990503516	0.390809090909091	0.162730471	0.689609090909091	287500.0	0	0.0	0.0	3.0	251.66	0
58	290000.0	0.259440390905018	0.398609090909091	0.406893745	0.681545454545454	292500.0	0	0.0	0.0	1.0	58.79	0
59	295000.0	0.474944669248623	0.399409090909091	0.105671287	0.668745454545454	297500.0	0	0.0	0.0	1.0	84.72	0
60	300000.0	0.47754271008494	0.404890909090909	-0.139234344	0.671236363636364	302500.0	0	1.0	89.1	2.0	173.64	1
61	305000.0	0.366813100188161	0.401	-0.228145554	0.659745454545455	307500.0	0	0.0	0.0	1.0	84.03	0
62	310000.0	0.329839230390076	0.399936363636364	-0.210792912	0.655227272727273	312500.0	0	0.0	0.0	2.0	177.57	0
63	315000.0	0.346032568164932	0.401527272727273	-0.271986471	0.646481818181818	317500.0	0	0.0	0.0	0.0	0.0	0
64	320000.0	0.309682782790572	0.402590909090909	-0.343953964	0.650463636363636	322500.0	0	1.0	81.87	3.0	249.26	1
65	325000.0	0.283145054586329	0.401081818181818	-0.222657959	0.649054545454545	327500.0	0	0.0	0.0	1.0	65.45	0
66	330000.0	0.0116746959643175	0.4109	-0.309648048	0.665472727272727	332500.0	0	0.0	0.0	1.0	61.11	0
67	335000.0	0.0409150362975039	0.4203	-3.4e-05	0.674209090909091	337500.0	0	1.0	93.52	1.0	93.32	1
68	340000.0	-0.210364324891513	0.417	-0.138496694	0.674709090909091	342500.0	0	0.0	0.0	0.0	0.0	0
69	345000.0	-0.26899389381637	0.411390909090909	-0.029016514	0.677409090909091	347500.0	0	0.0	0.0	1.0	86.39	0
