gene_id	gene_name	old_locus_tag	product	tf_family	norm_M145_1_1	norm_M145_1_2	norm_M145_1_3	norm_M145_2_1	norm_M145_2_3	norm_M145_2_4	norm_M145_3_2	norm_M145_3_3	norm_M145_3_4	z_M145_1_1	z_M145_1_2	z_M145_1_3	z_M145_2_1	z_M145_2_3	z_M145_2_4	z_M145_3_2	z_M145_3_3	z_M145_3_4	T2_up_DEG	T2_LFC	T2_padj	T3_LFC	T3_padj	ward_cluster_order	ward_k3_cluster
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	36.62899130090463	32.289727839962474	52.95864336123016	46.36252474492524	38.6554452937504	47.04764622630905	124.66512022738073	45.597105381022885	111.62362874909417	-0.7758457377847449	-1.036626265546372	-0.008689387232862986	-0.2862003274242799	-0.6642053240664347	-0.25563299427722896	1.7906405735221596	-0.32087759970494095	1.5574370625147038	False	0.0972640262333668	0.807059771939028	1.1300843521940909	0.0009297741564291004	25	2
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	17536.91449226454	18304.935368585622	18461.21224139141	5599.6883545578	5753.218774553184	5421.681136555614	2411.554784726381	3942.481428676247	2019.664937438646	1.1694353614589825	1.2197119680838426	1.2296836101878355	-0.16955586366009195	-0.1378325587722826	-0.20744390089956652	-1.1574900685626393	-0.5810866640772083	-1.3654218837588719	False	-1.6613775957407972	2.9831552655051355e-14	-2.6694787349831692	2.9462621075082523e-34	18	1
SC_RS17670	mfd	SCO3109	transcription-repair coupling factor	Other regulatory	766.0691894932054	855.121068313489	765.3378137364874	555.2195036526413	631.3722731312565	702.3541472356137	345.3836937447105	409.26182390771766	333.2647908695976	0.8466377284495463	1.1516568806727825	0.8439886165149484	-0.04595213324642878	0.31038858294072663	0.6058198220722528	-1.36121767099895	-0.8912025183633224	-1.4601193080415382	False	-0.3269667987752288	0.0592575079351018	-1.1177703570800714	2.4904671041488938e-11	21	1
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	95.23537738235204	82.39447793645597	82.00048004319508	1382.960189342526	1329.7473181050136	1115.701324795329	1064.0815180063862	1631.4866730234287	1120.2515259351535	-1.2540605150615602	-1.360801235992929	-1.3643308429109373	0.7328890640377039	0.7036663146311368	0.5729661131944845	0.5376918703712404	0.8559823549978424	0.5759968767330248	True	3.862293400136804	1.104230837631596e-70	3.8560143168192966	1.2411581189382607e-70	53	3
SC_RS21680		SCO3907	single-stranded DNA-binding protein	Other regulatory	26109.14499928482	25924.197699925735	26605.73908734834	4260.829103387276	4460.838386898796	4267.8936219580355	2387.711728945188	4177.139702710292	2278.2462932459	1.2903219497525098	1.2834662046861098	1.3084924931330424	-0.45783872321556535	-0.4136073502437785	-0.4562413731636454	-1.0161931939844326	-0.4769657341803199	-1.0614342727839312	False	-2.5696452550254967	1.3118774690164058e-32	-3.1280990279569942	1.9359604360758975e-47	15	1
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	111.98005911990845	95.75574462885425	104.20894338822708	154.918680245238	103.08118745000104	107.5374770887064	859.7124684533031	1611.468431636638	1013.4461833191136	-0.6520512314826261	-0.784715882790962	-0.7130368143390892	-0.37638408965299996	-0.7222596293072271	-0.6863816026437057	1.0856552959926584	1.6228815601393547	1.2262923940845993	False	0.216302293760551	0.4473362277968655	3.4487693724200077	1.7271286397763968e-41	31	2
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	1068.5200033778178	1043.2922408980978	1069.4229272300026	63.32442404184911	69.5798015287507	82.89347192254452	85.15377064711798	115.66095023478977	89.13829346150683	1.3283340901272562	1.3096893769055247	1.3289932211040574	-0.8672880556512205	-0.7948006962833957	-0.6598279619658188	-0.6390623570143892	-0.40228872136207994	-0.6037488958599421	False	-3.862409740149491	2.6804264118874064e-83	-3.450570084806256	1.541937882594552e-76	7	1
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	1138.6383581538353	1113.4388910331888	1163.38181061283	1148.8859790449767	1186.722170518137	1029.4473067137624	393.75103547227354	633.910977248367	419.9939412645773	0.6556499161909638	0.6066436150800986	0.7027261797741539	0.6752695977854767	0.7462249076201118	0.4349062001173669	-1.668015385386128	-0.6264544505650406	-1.5269505806169925	False	-0.0222782102607179	0.926132348542036	-1.2147622020577222	3.8354144462935404e-10	13	1
SC_RS23710		SCO4305	TetR/AcrR family transcriptional regulator	TetR	150.70213563800763	151.42768918051368	168.27181842197325	64.4552173283107	59.271682783750606	81.77328986953715	58.58579420521717	82.29721459013886	46.57676595285943	1.1611514685038609	1.1712274273087016	1.3925728908205612	-0.613896473227276	-0.7881249520883058	-0.11818295260375777	-0.8122944864982821	-0.10485839095142296	-1.2875945312640777	False	-1.1485908521819146	6.724953217511754e-06	-1.3006732325155153	1.6780900608516806e-07	14	1
SC_RS24635		SCO4495	UdgX family uracil-DNA binding protein	Other regulatory	116.16622955429754	110.23045021228567	87.97968171301139	11.307932864615912	14.173663274375146	14.562366689095658	36.786428919554965	13.345494257860356	40.152384442120194	1.3026441556117305	1.246835005327505	1.0072408031528006	-1.1162576582898458	-0.8915620147602163	-0.8644092922224778	0.08785935930434707	-0.9518108486475533	0.17946049052370908	False	-2.885192098520523	2.39121332598803e-13	-1.686804194832741	3.9540831701935873e-07	9	1
SC_RS25370		SCO4639	TetR/AcrR family transcriptional regulator	TetR	227.0997460656087	223.80121709767096	286.1475084840662	85.94028977108094	105.65821713625108	114.25856940675057	42.91750040614746	57.83047511739488	48.98590901938664	1.0714458955909878	1.0505194444482213	1.4021737401388708	-0.3142590120683947	-0.02060320499317501	0.09080431366726481	-1.2953368849762135	-0.875346185290017	-1.1093981065175382	False	-1.2374927770659256	2.953020559404361e-08	-2.281675477789121	5.616889113090159e-23	19	1
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	227.0997460656087	219.3474615335382	216.9596034476203	118.73329507846708	154.6217811750016	170.26767205711846	98.09714378547991	98.97908241246432	101.1840087941429	1.2019659608360052	1.1049365967363982	1.0743609342210483	-0.6066461699343402	0.1290204394877761	0.39784744362996977	-1.1374754534424938	-1.1126118915887007	-1.0513978599456992	False	-0.5619109836197297	0.0059447432079914	-1.1255402539486647	1.9971296506093053e-08	22	1
SC_RS26855	sigJ	SCO4938	RNA polymerase sigma factor SigJ	Sigma factor	11.511968694570026	7.794072237232322	8.541716671166155	7.915553005231139	11.59663358812512	8.961456424058866	53.135952883801615	26.690988515720715	56.213338218968275	-0.3761219964424783	-0.8359802041866792	-0.7295662962705852	-0.8180878701820501	-0.36732682109740855	-0.6734222227008749	1.5342334091812901	0.6599333136497627	1.6063386880490247	False	0.0232527665501622	0.968761700368794	2.172936408362761	9.35096503319624e-07	26	2
SC_RS27105		SCO4989	IclR family transcriptional regulator	IclR	480.3630573461493	514.4087676573332	438.19006523082373	127.7796413701598	136.5825733712514	142.26312073193452	70.84793717840216	108.98820310585958	81.1078165730828	1.283269498567355	1.3714255045418602	1.1649909584099765	-0.4176066806254078	-0.3323105742486465	-0.2801192954025834	-1.1703813324403163	-0.6210762909854546	-0.9981917878167799	False	-1.788905032851815	5.826692227034335e-19	-2.44748121947272	1.7780595271178823e-33	17	1
SC_RS27300		SCO5027	winged helix DNA-binding domain-containing protein	HTH (other)	141.28325216063214	143.63361694328134	164.00096008639017	30.531418734462964	36.07841560750037	35.845825696235465	76.97900866499465	41.14860729506943	57.81943359665309	1.1318211167407346	1.1565844853265126	1.3557129279516518	-1.1456696201002157	-0.900739998831956	-0.9102510003093087	0.2228713123555843	-0.7070238646362976	-0.20330535849670345	False	-2.0816956167144225	2.2933528337691613e-13	-1.2867486511856243	5.159038926868124e-07	10	1
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	2793.222222346127	2569.8169605045996	2760.682828120901	2330.5649633973394	2543.528300328776	3035.693363649941	519.7786160300082	603.8836151681812	483.4347086831272	0.7214016057530559	0.6183293199602214	0.7069128925636025	0.49750237875813025	0.6056157497592118	0.8243320908866304	-1.3565975275253195	-1.1714175503317414	-1.4460789598237915	False	-0.0369786446381299	0.8414520406331445	-2.322966797759986	9.178012336606152e-46	11	1
