gene_id	old_locus_tag	gene_name	product	regulator_name	regulator_type	known_name	is_known	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr
SC_RS03430	SCO0302	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	0.12182185171992825	0.5755785416800282	0.7114502694366562	0.7738708884961075	0.12182185171992825	0.5755785416800282	0.7114502694366562	0.7738708884961075	0	0.5456803878331801
SC_RS03465	SCO0310	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.8425571478296139	-0.550022787180117	-0.2589469901458427	-0.04257069732992651	0.8425571478296139	0.550022787180117	0.2589469901458427	0.04257069732992651	0	0.42352440562137506
SC_RS03495	SCO0316	NA	PucR family transcriptional regulator	NA	NA	NA	FALSE	0.6401652435569588	0.8262530608645403	0.7842348384988481	0.64048171948816	0.6401652435569588	0.8262530608645403	0.7842348384988481	0.64048171948816	0	0.7227837156021268
SC_RS03575	SCO0332	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.5676567535752692	-0.3865220654451953	-0.14464351932215974	-0.05499114606947102	0.5676567535752692	0.3865220654451953	0.14464351932215974	0.05499114606947102	0	0.2884533711030238
SC_RS03600	SCO0337	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.30969995712430737	-0.21016886987662084	-0.12913004721916982	-0.005974196782255529	0.30969995712430737	0.21016886987662084	0.12913004721916982	0.005974196782255529	0	0.1637432677505884
SC_RS03630	SCO0344	NA	GntR family transcriptional regulator	NA	NA	NA	FALSE	0.6102362643970846	0.2669205590879741	0.02763746706280532	-0.1931061136249515	0.6102362643970846	0.2669205590879741	0.02763746706280532	0.1931061136249515	0	0.2744751010432039
SC_RS03635	SCO0345	NA	IclR family transcriptional regulator	NA	NA	NA	FALSE	0.3273254943399105	0.4665558068066852	0.44697484289977424	0.3474107378108411	0.3273254943399105	0.4665558068066852	0.44697484289977424	0.3474107378108411	0	0.39706672046430275
SC_RS03695	SCO0357	NA	FadR/GntR family transcriptional regulator	NA	NA	NA	FALSE	-0.7501277100690585	-0.8148023631670394	-0.6838029218335907	-0.4966484920466963	0.7501277100690585	0.8148023631670394	0.6838029218335907	0.4966484920466963	0	0.6863453717790963
SC_RS03710	SCO0360	NA	LacI family DNA-binding transcriptional regulator	NA	NA	NA	FALSE	-0.7125462392160012	-0.33590832211863286	-0.0682059355704992	0.18007825667647098	0.7125462392160012	0.33590832211863286	0.0682059355704992	0.18007825667647098	0	0.32418468839540104
SC_RS03945	SCO0407	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	0.4506067117564533	0.7966430953736546	0.8360844645923461	0.7659010414207557	0.4506067117564533	0.7966430953736546	0.8360844645923461	0.7659010414207557	0	0.7123088282858024
SC_RS03980	SCO0414	sigJ	RNA polymerase sigma factor SigJ	NA	NA	NA	FALSE	0.38587615297816535	0.6338346087031634	0.6828786566430053	0.6344596913298532	0.38587615297816535	0.6338346087031634	0.6828786566430053	0.6344596913298532	0	0.5842622774135469
SC_RS04015	SCO0421	NA	response regulator transcription factor	NA	NA	NA	FALSE	0.6128709727064947	0.7526197098556258	0.7208773831524659	0.5760160811299887	0.6128709727064947	0.7526197098556258	0.7208773831524659	0.5760160811299887	0	0.6655960367111438
SC_RS04020	SCO0422	NA	sensor histidine kinase	NA	NA	NA	FALSE	0.6468959853214795	0.7300292116865684	0.6634147784833069	0.4947457772028273	0.6468959853214795	0.7300292116865684	0.6634147784833069	0.4947457772028273	0	0.6337714381735455
SC_RS04050	SCO0428	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.7870631187704846	-0.8886998142082885	-0.7691142575176488	-0.5933039953084083	0.7870631187704846	0.8886998142082885	0.7691142575176488	0.5933039953084083	0	0.7595452964512076
SC_RS04060	SCO0430	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.6450343379504313	-0.9029671091528857	-0.8869898742318695	-0.7568819128246906	0.6450343379504313	0.9029671091528857	0.8869898742318695	0.7568819128246906	1	0.7979683085399694
SC_RS04145	SCO0447	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.4287987915374219	-0.16485573581104906	-0.45915268980421076	-0.6591274090490765	0.4287987915374219	0.16485573581104906	0.45915268980421076	0.6591274090490765	0	0.4279836565504396
SC_RS04195	SCO0456	NA	LacI family DNA-binding transcriptional regulator	NA	NA	NA	FALSE	0.6698828581760768	0.5863582364162917	0.4568884350435309	0.24616134352394503	0.6698828581760768	0.5863582364162917	0.4568884350435309	0.24616134352394503	0	0.48982271828996116
SC_RS04245	SCO0466	NA	GlxA family transcriptional regulator	NA	NA	NA	FALSE	0.7964245838608897	0.7932905965990952	0.6604433983080675	0.4537766492173183	0.7964245838608897	0.7932905965990952	0.6604433983080675	0.4537766492173183	0	0.6759838069963426
