bgc_name	gene_id	old_locus_tag	gene_name	product	known_name	is_known	corr	sign	corr_rank
cpk	SC_RS31335	SCO5819	whiH	sporulation transcriptional regulator WhiH	NA	FALSE	0.9720413983355904	+	19
cpk	SC_RS04725	SCO0561	NA	Fur family transcriptional regulator	NA	FALSE	0.9717466901555372	+	20
cpk	SC_RS24585	SCO4485	NA	helix-turn-helix transcriptional regulator	NA	FALSE	-0.971245980258059	-	21
cpk	SC_RS31255	SCO5803	lexA	transcriptional repressor LexA	NA	FALSE	0.9709157223584752	+	22
cpk	SC_RS22050	SCO3981	NA	GntR family transcriptional regulator	NA	FALSE	-0.9702943659019738	-	23
cpk	SC_RS33650	SCO6280	NA	AfsR/SARP family transcriptional regulator	SCO6280_SARP	TRUE	0.9699827226477711	+	24
cpk	SC_RS16255	SCO2832	NA	IclR family transcriptional regulator	NA	FALSE	0.969675059958818	+	25
cpk	SC_RS12005	SCO1995	NA	tetratricopeptide repeat protein	NA	FALSE	0.9692971722540666	+	26
cpk	SC_RS26865	SCO4940	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	-0.9689432278159235	-	27
cpk	SC_RS17490	SCO3075	NA	MurR/RpiR family transcriptional regulator	NA	FALSE	-0.9683179042883557	-	28
cpk	SC_RS41050	SCO7778	NA	IclR family transcriptional regulator	NA	FALSE	0.9680635205983089	+	29
cpk	SC_RS40675	SCO7698	NA	MerR family transcriptional regulator	NA	FALSE	0.9676890323861822	+	30
