bin_center,6mA_T1,4mC_T1,6mA_T2,4mC_T2,6mA_T3,4mC_T3
170.0,0.21650377335147838,0.22887541754299146,0.2598045280217741,0.32166274897933933,0.24124706173450453,0.20413212915996537
190.0,0.18557466287269578,0.22887541754299146,0.21650377335147838,0.2845478164048002,0.2659903501175306,0.1917604849684523
210.0,0.24743288383026105,0.22268959544723493,0.23506123963874798,0.32166274897933933,0.2598045280217741,0.21650377335147838
230.0,0.17320301868118274,0.24124706173450453,0.2103179512557219,0.34022021526660895,0.2103179512557219,0.21650377335147838
250.0,0.16083137448966967,0.19794630706420885,0.17938884077693923,0.2103179512557219,0.1917604849684523,0.1422739082024001
270.0,0.2783619943090437,0.2659903501175306,0.2598045280217741,0.32784857107509585,0.2783619943090437,0.23506123963874798
290.0,0.2783619943090437,0.16701719658542621,0.2536187059260176,0.2103179512557219,0.3154769268835828,0.11753061981937399
310.0,0.2845478164048002,0.23506123963874798,0.2907336385005567,0.2845478164048002,0.29691946059631324,0.17938884077693923
330.0,0.17938884077693923,0.16083137448966967,0.19794630706420885,0.19794630706420885,0.24743288383026105,0.12990226401088706
350.0,0.22268959544723493,0.23506123963874798,0.2598045280217741,0.32166274897933933,0.2659903501175306,0.22887541754299146
370.0,0.23506123963874798,0.19794630706420885,0.32166274897933933,0.2845478164048002,0.3092911047878263,0.17938884077693923
390.0,0.22268959544723493,0.2536187059260176,0.24743288383026105,0.3092911047878263,0.22887541754299146,0.20413212915996537
410.0,0.1917604849684523,0.2103179512557219,0.20413212915996537,0.29691946059631324,0.1917604849684523,0.20413212915996537
430.0,0.17320301868118274,0.22887541754299146,0.18557466287269578,0.33403439317085243,0.23506123963874798,0.22887541754299146
450.0,0.24124706173450453,0.22887541754299146,0.20413212915996537,0.2845478164048002,0.22887541754299146,0.17938884077693923
470.0,0.20413212915996537,0.22887541754299146,0.23506123963874798,0.2721761722132871,0.22887541754299146,0.16083137448966967
490.0,0.16083137448966967,0.18557466287269578,0.16083137448966967,0.2536187059260176,0.1917604849684523,0.17320301868118274
510.0,0.2598045280217741,0.22268959544723493,0.2783619943090437,0.2845478164048002,0.2845478164048002,0.17938884077693923
